rank,ticker,company,exchange,quote_type,country,sector,industry,market_cap,market_regime,final_score,rs_score,trend_score,trend_status,volume_score,sector_score,structure_score,rr_score,liquidity_pass,liquidity_score,momentum_score,fundamental_score,options_score,options_bias,options_confidence,options_crowded_bullish,setup_type,trigger_confirmed,trigger_level,entry,stop,target,rr,atr_pct,relative_volume,price,avg_volume_20d,avg_volume_60d,median_volume_20d,mean_volume_20d,dollar_volume_20d,median_to_mean_volume_ratio,spread_pct,bid,ask,average_volume_yf,average_volume_10d_yf,regular_market_volume_yf,earnings_date,days_to_earnings,earnings_veto,earnings_penalty,revenue_growth,earnings_growth,operating_margins,profit_margins,debt_to_equity,return_on_equity,gross_margins,return_on_assets,trailing_pe,forward_pe,price_to_book,price_to_sales_ttm,enterprise_to_ebitda,short_percent_float,short_ratio,held_percent_institutions,options_data_available,options_source,options_expirations_used,call_volume,put_volume,call_open_interest,put_open_interest,put_call_volume_ratio,put_call_oi_ratio,call_volume_share,call_oi_share,near_call_volume,near_put_volume,near_call_open_interest,near_put_open_interest,near_put_call_volume_ratio,near_put_call_oi_ratio,near_call_oi_share,max_call_oi_strike,max_call_oi,max_put_oi_strike,max_put_oi,max_pain_approx,atm_implied_volatility,call_volume_to_oi,put_volume_to_oi,total_option_volume,total_option_open_interest,warnings,scanner_stage,quote_timestamp,regular_market_time,pre_market_time,post_market_time,market_session,market_state_raw,metadata_fetched_at,quote_timestamp_source,signal,veto_reasons,reason_summary,all_veto_reasons,source_channel,validation_status,data_quality_warning,universe_veto_reasons,metadata_source,cache_schema_version,currency,enterprise_value,shares_outstanding,average_volume,average_volume_10d,bid_size,ask_size,regular_market_volume,total_debt,total_cash,free_cashflow,operating_cashflow,earnings_quarterly_growth,eps_trailing_twelve_months,eps_forward,peg_ratio,held_percent_insiders,fundamental_warning,early_veto_reasons,penalty_reasons,quote_age_seconds,quote_temporal_status,quote_status,execution_quote_quality,asset_quality_score,setup_quality_score,context_score,institutional_score,final_trade_score,score_breakdown,theoretical_entry,theoretical_stop,theoretical_target,actionable_entry,actionable_stop,actionable_target,legacy_rank,trade_rank,rank_delta,legacy_rank_basis,trade_rank_basis,run_trust_status,run_trust_reasons,critical_essential_sources,run_manual_review_required,schema_version,backtest_run_id,generated_at_utc,market_date_et,exchange_timezone
1,MEDP,"Medpace Holdings, Inc.",NMS,EQUITY,United States,Healthcare,Diagnostics & Research,17115821056,risk_off,78.16,0.867,0.85,excellent,0.656,0.748,1.0,0.703,True,1.0,0.86,0.8576,0.9284,BULLISH_WITH_DATA,HIGH,False,BREAKOUT,True,567.9099731445312,597.0,556.7661372593471,677.9000244140625,2.010744653963339,0.044928936617144505,1.6626223897072452,597.0,334464.4,330958.13333333336,324100.0,334464.4,199675246.8,0.969011948655821,0.010087620032978771,615.46,621.7,341429.0,299750.0,537189.0,2026-10-19,87.0,False,False,0.172,0.371,0.20757,0.17665,27.682,1.6215401,0.7235,0.20096001,37.691826,31.907766,37.037266,6.1517076,23.491,0.0923,6.94,0.872,True,yfinance,2026-08-21,440.0,162.0,571.0,415.0,0.36818181818181817,0.7267950963222417,0.7308970099667774,0.579107505070994,15.0,0.0,63.0,0.0,0.0,0.0,1.0,650.0,248.0,480.0,97.0,530.0,0.4932149067687989,0.7705779334500875,0.39036144578313253,602.0,986.0,,FULL_SCORE,2026-07-23T15:26:47+00:00,1784820407.0,,,REGULAR,REGULAR,2026-07-23T15:27:11.369077+00:00,yahoo_quote_summary,TRIGGER_CONFIRMED,,BREAKOUT | score 78.16 | RS 0.867 | trend 0.85 | R:R 2.01 | opt BULLISH_WITH_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.93,KNOWN,VALID,HIGH,90.25,80.48,82.17,92.84,84.58,asset=90.25; setup=80.48; context=82.17; institutional=92.84,597.0,556.7661372593471,677.9000244140625,597.0,556.7661372593471,677.9000244140625,1,1,0,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
2,NSC,Norfolk Southern Corporation,NYQ,EQUITY,United States,Industrials,Railroads,78941421568,risk_off,76.31,0.861,1.0,excellent,0.687,0.841,1.0,0.7,True,1.0,0.86,0.5027,0.4684,NEUTRAL_WITH_DATA,HIGH,False,BREAKOUT,True,342.5299987792969,350.7300109863281,339.6787654331752,372.83250209263394,2.0,0.021006177984930017,1.378300557540042,350.7300109863281,964047.35,1123450.7833333334,922150.0,964047.35,338120337.6568405,0.9565401533441278,0.0015829941203075596,353.48,354.04,1115654.0,942250.0,1304338.0,2026-07-23,-1.0,False,False,0.002,-0.266,0.32255,0.21912001,111.586,0.17615,0.45851,0.05888,29.55808,25.358313,4.9902654,,16.22,0.038,7.59,0.78006,True,yfinance,2026-08-21,70.0,67.0,1245.0,3457.0,0.9571428571428572,2.776706827309237,0.5109489051094891,0.2647809442790302,7.0,9.0,37.0,54.0,1.2857142857142858,1.4594594594594594,0.4065934065934066,330.0,693.0,300.0,3125.0,320.0,0.29187719848632804,0.05622489959839357,0.019380966155626265,137.0,4702.0,,FULL_SCORE,2026-07-23T15:27:20+00:00,1784820440.0,,,REGULAR,REGULAR,2026-07-23T15:27:24.949679+00:00,yahoo_quote_summary,TRIGGER_CONFIRMED,,BREAKOUT | score 76.31 | RS 0.861 | trend 1.0 | R:R 2.0 | opt NEUTRAL_WITH_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.93,KNOWN,VALID,HIGH,83.42,81.17,90.07,46.84,80.52,asset=83.42; setup=81.17; context=90.07; institutional=46.84,350.7300109863281,339.6787654331752,372.83250209263394,350.7300109863281,339.6787654331752,372.83250209263394,3,4,-1,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
3,VIST,Vista Energy S.A.B. de C.V.,NYQ,EQUITY,Mexico,Energy,Oil & Gas E&P,7781465088,risk_off,74.52,0.627,0.85,excellent,0.571,1.0,0.82,1.0,True,1.0,0.75,0.8724,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,69.30339965820312,69.6500015258789,65.96310874394008,81.44000244140625,3.1978149658388886,0.03528971238255165,0.7024962418646366,69.6500015258789,854778.95,997527.9833333333,819850.0,854778.95,59535355.17178917,0.9591368622261931,0.0007166917508781103,69.74,69.79,1014526.0,872020.0,585384.0,2026-07-16,-8.0,False,False,1.023,0.298,0.44244,0.23558001,106.502,0.29795,0.82515,0.09996,9.188158,7.2642913,2.8256385,2.2075953,5.032,0.0215,2.4,0.57870996,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-23T15:27:48+00:00,1784820468.0,,,REGULAR,REGULAR,2026-07-23T15:27:58.842254+00:00,yahoo_quote_summary,TRIGGER_CONFIRMED,,PULLBACK | score 74.52 | RS 0.627 | trend 0.85 | R:R 3.2 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.93,KNOWN,VALID,HIGH,90.75,78.53,82.57,,83.05,asset=90.75; setup=78.53; context=82.57; institutional=None,69.6500015258789,65.96310874394008,81.44000244140625,69.6500015258789,65.96310874394008,81.44000244140625,4,2,2,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
4,NVCR,NovoCure Limited,NMS,EQUITY,Switzerland,Healthcare,Medical Devices,2255033600,risk_off,77.74,0.971,0.85,excellent,0.876,0.748,1.0,0.7,True,1.0,1.0,0.3239,0.5851,NEUTRAL_WITH_DATA,HIGH,False,BREAKOUT,True,18.079999923706055,19.28499984741211,17.609500101634435,22.63599933896746,2.0,0.05792065539831168,2.4953946487263847,19.28499984741211,1580606.9,1778043.9666666666,1137350.0,1580606.9,30482003.825318526,0.719565377071301,0.44497228820269197,14.73,23.16,1711293.0,1115540.0,3858615.0,2026-07-23,-1.0,False,False,0.123,,-0.38735,-0.25659,71.04,-0.49965,0.75448996,-0.11056,,-18.683964,6.8196144,3.3436933,-9.664,0.139,6.65,0.87415004,True,yfinance,2026-08-21,311.0,339.0,682.0,174.0,1.090032154340836,0.25513196480938416,0.47846153846153844,0.7967289719626168,49.0,0.0,50.0,0.0,0.0,0.0,1.0,19.0,268.0,14.0,52.0,15.0,0.6552768847656251,0.4560117302052786,1.9482758620689655,650.0,856.0,,FULL_SCORE,2026-07-23T15:26:58+00:00,1784820418.0,,,REGULAR,REGULAR,2026-07-23T15:27:08.925654+00:00,yahoo_quote_summary,WATCHLIST,,BREAKOUT | score 77.74 | RS 0.971 | trend 0.85 | R:R 2.0 | opt NEUTRAL_WITH_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.93,KNOWN,WIDE_OR_INCOHERENT,LOW,72.46,89.4,85.63,58.51,81.13,asset=72.46; setup=89.4; context=85.63; institutional=58.51,19.28499984741211,17.609500101634435,22.63599933896746,19.28499984741211,17.609500101634435,22.63599933896746,2,3,-1,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
5,TMO,Thermo Fisher Scientific Inc,NYQ,EQUITY,United States,Healthcare,Diagnostics & Research,213946204160,risk_off,74.33,0.821,0.85,excellent,0.643,0.748,1.0,0.7,True,1.0,0.86,0.5646,0.6569,BULLISH_WITH_DATA,HIGH,False,BREAKOUT,True,544.4500122070312,575.9349975585938,550.2121418544224,627.3807089669364,1.9999999999999956,0.029775183904678246,1.381708262796582,575.9349975585938,2184351.85,2307352.283333333,2092200.0,2184351.85,1258044677.39686,0.9578127260038257,0.0008860396633049121,575.34,575.85,2301432.0,1883590.0,2955119.0,2026-07-23,-1.0,False,False,0.062,0.113,0.17892,0.15151,82.903,0.13523,0.40932,0.04997,31.58562,21.114939,4.117996,,20.864,0.014400001,2.33,0.93907,True,yfinance,"2026-07-31,2026-08-07,2026-08-14",739.0,197.0,947.0,509.0,0.2665764546684709,0.5374868004223865,0.7895299145299145,0.6504120879120879,23.0,70.0,55.0,20.0,3.0434782608695654,0.36363636363636365,0.7333333333333333,500.0,382.0,430.0,157.0,490.0,0.3664308963012695,0.7803590285110876,0.38703339882121807,936.0,1456.0,,FULL_SCORE,2026-07-23T15:27:14+00:00,1784820434.0,,,REGULAR,REGULAR,2026-07-23T15:27:16.752785+00:00,yahoo_quote_summary,WATCHLIST,,BREAKOUT | score 74.33 | RS 0.821 | trend 0.85 | R:R 2.0 | opt BULLISH_WITH_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.93,KNOWN,VALID,HIGH,80.49,80.08,80.63,65.69,78.88,asset=80.49; setup=80.08; context=80.63; institutional=65.69,575.9349975585938,550.2121418544224,627.3807089669364,575.9349975585938,550.2121418544224,627.3807089669364,5,7,-2,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
6,DGX,Quest Diagnostics Incorporated,NYQ,EQUITY,United States,Healthcare,Diagnostics & Research,25276422144,risk_off,74.22,0.774,1.0,excellent,0.558,0.748,1.0,0.7,True,1.0,0.86,0.5684,0.5978,NEUTRAL_WITH_DATA,HIGH,False,BREAKOUT,True,219.1999969482422,228.23500061035156,217.85178756713867,249.00142669677734,2.0,0.03032901180930722,1.7640529638437947,228.23500061035156,940483.1,879117.7,856850.0,940483.1,214651160.90252534,0.9110743191451287,0.0028962327360753347,231.0,231.67,866062.0,915990.0,1643962.0,2026-07-23,-1.0,False,False,0.092,0.155,0.14197,0.0908,82.737,0.14538999,0.33277,0.06348,25.285398,19.587765,3.4445448,2.2435708,13.307,0.033800002,4.23,0.98060995,True,yfinance,2026-08-21,1099.0,288.0,4529.0,2220.0,0.26205641492265697,0.4901744314418194,0.7923576063446287,0.6710623796117944,49.0,238.0,1132.0,593.0,4.857142857142857,0.523851590106007,0.6562318840579711,220.0,1712.0,190.0,1061.0,210.0,0.6274146145629882,0.2426584234930448,0.12972972972972974,1387.0,6749.0,,FULL_SCORE,2026-07-23T15:27:09+00:00,1784820429.0,,,REGULAR,REGULAR,2026-07-23T15:27:18.773134+00:00,yahoo_quote_summary,WATCHLIST,,BREAKOUT | score 74.22 | RS 0.774 | trend 1.0 | R:R 2.0 | opt NEUTRAL_WITH_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.93,KNOWN,VALID,HIGH,85.61,77.95,84.07,59.78,79.58,asset=85.61; setup=77.95; context=84.07; institutional=59.78,228.23500061035156,217.85178756713867,249.00142669677734,228.23500061035156,217.85178756713867,249.00142669677734,6,6,0,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
7,KMI,"Kinder Morgan, Inc.",NYQ,EQUITY,United States,Energy,Oil & Gas Midstream,73096650752,risk_off,70.77,0.51,1.0,excellent,0.35,1.0,0.82,0.7,True,1.0,1.0,0.6788,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,32.373750400543216,32.80500030517578,31.738928386143275,34.93714414324079,2.0,0.021664825669158876,0.787461085781097,32.80500030517578,9229290.35,9864661.783333333,8445050.0,9229290.35,302766872.74830586,0.9150270150510543,0.0006103143118707089,32.76,32.78,10013326.0,7947050.0,7221224.0,,,False,False,0.108,0.218,0.30065,0.19305,98.081,0.109910004,0.49407002,0.04453,22.023489,21.715105,,,13.82,0.0228,4.23,0.71012,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"earnings_dates no disponible: `Import lxml` failed.  Use pip or conda to install the lxml package.; options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-23T15:30:10+00:00,1784820610.0,,,REGULAR,REGULAR,2026-07-23T15:30:11.275869+00:00,yahoo_quote_summary,WATCHLIST,,PULLBACK | score 70.77 | RS 0.51 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.93,KNOWN,VALID,HIGH,89.29,71.75,83.67,,79.93,asset=89.29; setup=71.75; context=83.67; institutional=None,32.80500030517578,31.738928386143275,34.93714414324079,32.80500030517578,31.738928386143275,34.93714414324079,7,5,2,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
8,RVMD,"Revolution Medicines, Inc.",NMS,EQUITY,United States,Healthcare,Biotechnology,40382697472,risk_off,70.28,0.894,1.0,excellent,0.487,0.748,0.82,0.7,True,1.0,0.65,0.3917,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,186.03175048828126,190.09500122070312,179.62446321759904,211.0360772269113,2.0,0.03672036941482616,0.34166393296727543,190.09500122070312,2773713.9,2812372.966666667,2031200.0,2773713.9,527269147.2063812,0.7323033568819048,0.09333224870522525,175.79,193.0,2887091.0,1861620.0,933266.0,2026-08-05,12.0,False,False,,,0.0,0.0,29.153,-0.76672995,0.0,-0.3753,,-32.471798,25.390364,,-27.163,0.064,3.58,0.97789,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-23T15:27:30+00:00,1784820450.0,,,REGULAR,REGULAR,2026-07-23T15:28:01.436345+00:00,yahoo_quote_summary,WATCHLIST,,PULLBACK | score 70.28 | RS 0.894 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.93,KNOWN,WIDE_OR_INCOHERENT,LOW,79.72,66.42,88.07,,76.13,asset=79.72; setup=66.42; context=88.07; institutional=None,190.09500122070312,179.62446321759904,211.0360772269113,190.09500122070312,179.62446321759904,211.0360772269113,9,12,-3,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
9,SSL,Sasol Ltd.,NYQ,EQUITY,South Africa,Basic Materials,Specialty Chemicals,7839185920,risk_off,69.79,0.629,0.85,excellent,0.44,0.685,0.78,1.0,True,1.0,1.0,0.2795,0.7049,CROWDED_BULLISH,MEDIUM,True,RECLAIM,True,11.825899982452393,12.175000190734863,11.638750178473336,14.369999885559082,4.093239430554499,0.029363449903385436,0.6295203575167736,12.175000190734863,1309879.8,1538708.2666666666,1210450.0,1309879.8,15947786.814839745,0.9240924243583266,0.0008179959100204323,12.22,12.23,1536190.0,1235580.0,813682.0,,,False,False,0.002,-0.948,0.09787,0.00966,70.472,0.02474,0.4067,0.05726,53.13087,7.340546,0.8361495,,2.068,0.0088,2.68,0.05843,True,yfinance,2026-08-21,1251.0,1.0,185.0,63.0,0.0007993605115907274,0.34054054054054056,0.9992012779552716,0.7459677419354839,1225.0,0.0,82.0,0.0,0.0,0.0,1.0,12.5,82.0,10.0,63.0,10.0,1.0830109765625,6.762162162162162,0.015873015873015872,1252.0,248.0,earnings_dates no disponible: `Import lxml` failed.  Use pip or conda to install the lxml package.; put/call extremadamente bajo: posible crowded trade,FULL_SCORE,2026-07-23T15:27:16+00:00,1784820436.0,,,REGULAR,REGULAR,2026-07-23T15:27:21.005047+00:00,yahoo_quote_summary,WATCHLIST,,RECLAIM | score 69.79 | RS 0.629 | trend 0.85 | R:R 4.09 | opt CROWDED_BULLISH,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.93,KNOWN,VALID,HIGH,70.98,80.5,72.13,70.49,75.03,asset=70.98; setup=80.5; context=72.13; institutional=70.49,12.175000190734863,11.638750178473336,14.369999885559082,12.175000190734863,11.638750178473336,14.369999885559082,12,15,-3,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
10,KALU,Kaiser Aluminum Corporation,NMS,EQUITY,United States,Basic Materials,Aluminum,2940001792,risk_off,68.63,0.643,0.85,excellent,0.559,0.685,0.78,0.7,True,1.0,0.75,0.726,0.6124,NEUTRAL_WITH_DATA,LOW,False,RECLAIM,True,171.06500091552735,181.08999633789062,169.83249882289343,203.60499136788505,2.0000000000000027,0.04144347283175219,0.6064112747207768,181.08999633789062,308328.7,260464.56666666668,258050.0,308328.7,55835243.15386658,0.8369314955111217,0.5022662317041485,129.7,216.69,269229.0,234680.0,183527.0,2026-10-21,89.0,False,False,0.527,3.057,0.106400006,0.05489,112.28,0.26398,0.14524001,0.077410005,19.6205,17.054579,3.3202922,0.71084934,8.025,0.0674,3.04,1.00971,True,yfinance,2026-08-21,21.0,6.0,61.0,17.0,0.2857142857142857,0.2786885245901639,0.7777777777777778,0.782051282051282,5.0,1.0,22.0,4.0,0.2,0.18181818181818182,0.8461538461538461,170.0,23.0,145.0,4.0,165.0,0.5278367529296876,0.3442622950819672,0.35294117647058826,27.0,78.0,,FULL_SCORE,2026-07-23T15:26:18+00:00,1784820378.0,,,REGULAR,REGULAR,2026-07-23T15:27:14.348334+00:00,yahoo_quote_summary,WATCHLIST,,RECLAIM | score 68.63 | RS 0.643 | trend 0.85 | R:R 2.0 | opt NEUTRAL_WITH_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.93,KNOWN,WIDE_OR_INCOHERENT,LOW,85.87,69.72,72.6,61.24,73.63,asset=85.87; setup=69.72; context=72.6; institutional=61.24,181.08999633789062,169.83249882289343,203.60499136788505,181.08999633789062,169.83249882289343,203.60499136788505,15,18,-3,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
11,ARGX,argenx SE,NMS,EQUITY,Netherlands,Healthcare,Biotechnology,56415502336,risk_off,68.47,0.721,1.0,excellent,0.417,0.748,0.82,0.7,True,1.0,0.4,0.9,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,889.8993713378907,903.8175048828125,865.9026663643973,979.6471819196429,2.0,0.02796644109648452,0.7581679385293433,903.8175048828125,303858.8,339594.6,275000.0,303858.8,274632902.45268553,0.9050256237436599,0.020302675953700437,876.12,894.09,339532.0,263400.0,208445.0,2026-07-23,-1.0,False,False,0.626,1.14,0.30008,0.31398,0.644,,0.58106,,40.265423,24.39637,191.65181,11.895808,999.106,0.0233,3.58,0.47761002,False,not_prioritized,,,,,,,,,,,,,,,,,,,,,,,,,,,candidato fuera del cupo priorizado de opciones,FULL_SCORE,2026-07-23T15:27:06+00:00,1784820426.0,,,REGULAR,REGULAR,2026-07-23T15:27:23.518612+00:00,yahoo_quote_summary,WATCHLIST,,PULLBACK | score 68.47 | RS 0.721 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.93,KNOWN,VALID,MEDIUM,96.67,58.42,82.3,,75.68,asset=96.67; setup=58.42; context=82.3; institutional=None,903.8175048828125,865.9026663643973,979.6471819196429,903.8175048828125,865.9026663643973,979.6471819196429,16,14,2,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260723T153344068192Z,2026-07-23T15:33:44.068192+00:00,2026-07-23,America/New_York
