rank,ticker,company,exchange,quote_type,country,sector,industry,market_cap,market_regime,final_score,rs_score,trend_score,trend_status,volume_score,sector_score,structure_score,rr_score,liquidity_pass,liquidity_score,momentum_score,fundamental_score,options_score,options_bias,options_confidence,options_crowded_bullish,setup_type,trigger_confirmed,trigger_level,entry,stop,target,rr,atr_pct,relative_volume,price,avg_volume_20d,avg_volume_60d,median_volume_20d,mean_volume_20d,dollar_volume_20d,median_to_mean_volume_ratio,spread_pct,bid,ask,average_volume_yf,average_volume_10d_yf,regular_market_volume_yf,earnings_date,days_to_earnings,earnings_veto,earnings_penalty,revenue_growth,earnings_growth,operating_margins,profit_margins,debt_to_equity,return_on_equity,gross_margins,return_on_assets,trailing_pe,forward_pe,price_to_book,price_to_sales_ttm,enterprise_to_ebitda,short_percent_float,short_ratio,held_percent_institutions,options_data_available,options_source,options_expirations_used,call_volume,put_volume,call_open_interest,put_open_interest,put_call_volume_ratio,put_call_oi_ratio,call_volume_share,call_oi_share,near_call_volume,near_put_volume,near_call_open_interest,near_put_open_interest,near_put_call_volume_ratio,near_put_call_oi_ratio,near_call_oi_share,max_call_oi_strike,max_call_oi,max_put_oi_strike,max_put_oi,max_pain_approx,atm_implied_volatility,call_volume_to_oi,put_volume_to_oi,total_option_volume,total_option_open_interest,warnings,scanner_stage,quote_timestamp,regular_market_time,pre_market_time,post_market_time,market_session,market_state_raw,metadata_fetched_at,quote_timestamp_source,signal,veto_reasons,reason_summary,all_veto_reasons,source_channel,validation_status,data_quality_warning,universe_veto_reasons,metadata_source,cache_schema_version,currency,enterprise_value,shares_outstanding,average_volume,average_volume_10d,bid_size,ask_size,regular_market_volume,total_debt,total_cash,free_cashflow,operating_cashflow,earnings_quarterly_growth,eps_trailing_twelve_months,eps_forward,peg_ratio,held_percent_insiders,fundamental_warning,early_veto_reasons,penalty_reasons,quote_age_seconds,quote_temporal_status,quote_status,execution_quote_quality,asset_quality_score,setup_quality_score,context_score,institutional_score,final_trade_score,score_breakdown,theoretical_entry,theoretical_stop,theoretical_target,actionable_entry,actionable_stop,actionable_target,legacy_rank,trade_rank,rank_delta,legacy_rank_basis,trade_rank_basis,run_trust_status,run_trust_reasons,critical_essential_sources,run_manual_review_required,schema_version,backtest_run_id,generated_at_utc,market_date_et,exchange_timezone
1,RNG,"Ringcentral, Inc.",NYQ,EQUITY,United States,Technology,Software - Application,4433604608,neutral,74.12,0.962,1.0,excellent,0.648,0.653,0.78,0.7,True,1.0,0.86,0.4904,0.3645,BEARISH_WITH_DATA,HIGH,False,RECLAIM,True,40.738000106811526,52.7400016784668,48.137145451137,61.945714133126394,2.0000000000000013,0.058182986737991174,0.8793969932672748,52.7400016784668,1807024.6,1787383.2,1555446.0,1807024.6,95302480.43703079,0.8607774349059775,0.002289639381797318,52.35,52.47,1898081.0,2574060.0,1556361.0,2026-07-23,-5.0,False,False,0.059,2.214,0.08796,0.04267,,,0.71861,0.078660004,42.295998,9.61479,-7.317647,1.7158589,12.753,0.2024,5.54,1.17872,True,yfinance,"2026-07-31,2026-08-07,2026-08-14",529.0,568.0,1280.0,1561.0,1.0737240075614367,1.21953125,0.4822242479489517,0.4505455825413587,103.0,55.0,81.0,289.0,0.5339805825242718,3.567901234567901,0.21891891891891893,42.0,131.0,48.0,174.0,47.0,0.7026396923828125,0.41328125,0.3638693145419603,1097.0,2841.0,,FULL_SCORE,2026-07-27T15:53:47+00:00,1785167627.0,,,REGULAR,REGULAR,2026-07-27T15:53:55.784780+00:00,yahoo_quote_summary,WATCHLIST,,RECLAIM | score 74.12 | RS 0.962 | trend 1.0 | R:R 2.0 | opt BEARISH_WITH_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.11,KNOWN,VALID,HIGH,83.01,74.7,87.17,36.45,76.07,asset=83.01; setup=74.7; context=87.17; institutional=36.45,52.7400016784668,48.137145451137,61.945714133126394,52.7400016784668,48.137145451137,61.945714133126394,1,10,-9,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260727T155819342631Z,2026-07-27T15:58:19.342631+00:00,2026-07-27,America/New_York
2,PAYC,"Paycom Software, Inc.",NYQ,EQUITY,United States,Technology,Software - Application,7155627008,neutral,73.38,0.869,0.85,excellent,0.525,0.653,0.78,0.7,True,1.0,1.0,0.7737,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,RECLAIM,True,140.7349998474121,153.4199981689453,142.70731789725167,174.8453587123326,2.0,0.04655056011623243,0.20737484211636728,153.4199981689453,803400.25,949036.75,732000.0,803400.25,123257664.8839302,0.9111274237218622,0.0018847691157832648,153.72,154.01,948647.0,620860.0,164706.0,2026-08-05,8.0,False,False,0.078,0.226,0.36755002,0.2244,94.074,0.37147,0.87597,0.07881,17.77752,12.498432,8.606047,3.4176717,11.012,0.08930001,3.36,1.01663,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-27T15:54:14+00:00,1785167654.0,,,REGULAR,REGULAR,2026-07-27T15:54:42.568127+00:00,yahoo_quote_summary,WATCHLIST,,RECLAIM | score 73.38 | RS 0.869 | trend 0.85 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.11,KNOWN,VALID,HIGH,87.46,75.12,79.07,,79.64,asset=87.46; setup=75.12; context=79.07; institutional=None,153.4199981689453,142.70731789725167,174.8453587123326,153.4199981689453,142.70731789725167,174.8453587123326,2,2,0,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260727T155819342631Z,2026-07-27T15:58:19.342631+00:00,2026-07-27,America/New_York
3,FDS,FactSet Research Systems Inc.,NYQ,EQUITY,United States,Financial Services,Financial Data & Stock Exchanges,9572465664,neutral,71.57,0.844,0.85,excellent,0.541,0.545,0.78,0.7,True,1.0,1.0,0.6447,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,RECLAIM,True,249.36349792480468,269.489990234375,251.36249160766602,305.74498748779297,2.0,0.04484396275335627,0.34067995946679364,269.489990234375,951121.4,931445.4666666667,864600.0,951121.4,256317696.79770508,0.9090322223850709,0.002007584207004314,268.71,269.25,932944.0,813850.0,322109.0,2026-09-17,51.0,False,False,0.064,-0.096,0.30542,0.2321,77.284,0.27032,0.51382,0.11079001,17.718895,13.66184,4.7382226,3.925621,11.059,0.1625,5.01,1.09627,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-27T15:53:09+00:00,1785167589.0,,,REGULAR,REGULAR,2026-07-27T15:54:39.404167+00:00,yahoo_quote_summary,WATCHLIST,,RECLAIM | score 71.57 | RS 0.844 | trend 0.85 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.11,KNOWN,VALID,HIGH,83.16,75.53,74.63,,77.4,asset=83.16; setup=75.53; context=74.63; institutional=None,269.489990234375,251.36249160766602,305.74498748779297,269.489990234375,251.36249160766602,305.74498748779297,3,6,-3,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260727T155819342631Z,2026-07-27T15:58:19.342631+00:00,2026-07-27,America/New_York
4,NTNX,"Nutanix, Inc.",NMS,EQUITY,United States,Technology,Software - Infrastructure,15440707584,neutral,71.46,0.921,1.0,excellent,0.499,0.653,0.78,0.7,True,1.0,0.65,0.4827,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,RECLAIM,True,53.66500015258789,57.150001525878906,53.294572830200195,64.86085891723633,2.0,0.04497437845133308,0.23649860397275133,57.150001525878906,3551936.4,3918075.466666667,3307450.0,3551936.4,202993170.67982483,0.9311681369069559,0.11198600174978124,53.95,60.35,3951427.0,2401150.0,835561.0,2026-08-26,29.0,False,False,0.1,0.172,0.10029,0.10032,,,0.87095,0.04694,60.142105,26.067259,-20.990082,5.6168203,45.54,0.1312,6.51,0.91716003,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-27T15:55:59+00:00,1785167759.0,,,REGULAR,REGULAR,2026-07-27T15:56:18.255218+00:00,yahoo_quote_summary,WATCHLIST,,RECLAIM | score 71.46 | RS 0.921 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.11,KNOWN,WIDE_OR_INCOHERENT,LOW,82.76,65.72,85.8,,76.03,asset=82.76; setup=65.72; context=85.8; institutional=None,57.150001525878906,53.294572830200195,64.86085891723633,57.150001525878906,53.294572830200195,64.86085891723633,4,12,-8,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260727T155819342631Z,2026-07-27T15:58:19.342631+00:00,2026-07-27,America/New_York
5,AVPT,"AvePoint, Inc.",NMS,EQUITY,United States,Technology,Software - Infrastructure,2703219200,neutral,71.35,0.916,0.85,excellent,0.524,0.653,0.78,0.7,True,1.0,0.65,0.7434,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,RECLAIM,True,12.309249925613404,12.744999885559082,11.839107138769968,14.556785379137311,2.0000000000000018,0.047385523992330536,0.2952915682919889,12.744999885559082,2499478.75,2379614.5833333335,2182300.0,2499478.75,31855856.382707357,0.8731020417757103,0.544293695131684,9.12,15.94,2381403.0,2078240.0,736523.0,2026-08-06,9.0,False,False,0.26,3.028,0.10855,0.10505,5.015,0.116969995,0.7368,0.0403,63.7495,25.62897,6.1563973,6.0927434,44.053,0.0706,4.38,0.65926003,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-27T15:54:16+00:00,1785167656.0,,,REGULAR,REGULAR,2026-07-27T15:55:54.916210+00:00,yahoo_quote_summary,WATCHLIST,,RECLAIM | score 71.35 | RS 0.916 | trend 0.85 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.11,KNOWN,WIDE_OR_INCOHERENT,LOW,86.45,66.35,80.63,,75.9,asset=86.45; setup=66.35; context=80.63; institutional=None,12.744999885559082,11.839107138769968,14.556785379137311,12.744999885559082,11.839107138769968,14.556785379137311,5,13,-8,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260727T155819342631Z,2026-07-27T15:58:19.342631+00:00,2026-07-27,America/New_York
6,GRND,Grindr Inc.,NYQ,EQUITY,United States,Technology,Software - Application,2742311936,neutral,71.33,0.737,1.0,excellent,0.493,0.653,0.82,0.7,True,1.0,0.65,0.8094,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,15.377999925613404,15.479999542236328,14.46053511755807,17.518928391592844,2.0,0.043904584617792564,0.17708966849134802,15.479999542236328,1711020.2,1729980.0666666667,1569200.0,1711020.2,26486591.91275711,0.9171136611946487,0.0019361084220715947,15.48,15.51,1732355.0,1402850.0,300872.0,2026-08-06,9.0,False,False,0.383,0.645,0.32882,0.19853,47076.996,0.58931,0.74656,0.16249001,33.608696,20.077923,3092.0,5.7735615,19.801,0.1815,4.98,0.21542999,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-27T15:56:02+00:00,1785167762.0,,,REGULAR,REGULAR,2026-07-27T15:56:09.719005+00:00,yahoo_quote_summary,WATCHLIST,,PULLBACK | score 71.33 | RS 0.737 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.11,KNOWN,VALID,HIGH,93.65,66.58,79.67,,77.74,asset=93.65; setup=66.58; context=79.67; institutional=None,15.479999542236328,14.46053511755807,17.518928391592844,15.479999542236328,14.46053511755807,17.518928391592844,6,4,2,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260727T155819342631Z,2026-07-27T15:58:19.342631+00:00,2026-07-27,America/New_York
7,DBX,"Dropbox, Inc.",NMS,EQUITY,United States,Technology,Software - Infrastructure,7144832512,neutral,70.98,0.879,1.0,excellent,0.518,0.653,0.78,0.7,True,1.0,0.65,0.4445,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,RECLAIM,True,29.09550008773804,30.600000381469727,29.015357630593435,33.76928588322231,2.0,0.034523806778248574,0.35680028387064594,30.600000381469727,3328276.5,3927865.5,3454550.0,3328276.5,101845262.16963673,1.0379396062797066,0.0926017465809853,28.94,31.75,3945839.0,3435000.0,1159865.0,2026-08-06,9.0,False,False,0.008,-0.059,0.2745,0.18711,,,0.79737,0.14205,16.737703,8.994195,-3.5077872,2.8292022,11.36,0.2904,7.29,1.29407,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-27T15:54:46+00:00,1785167686.0,,,REGULAR,REGULAR,2026-07-27T15:55:04.759599+00:00,yahoo_quote_summary,WATCHLIST,,RECLAIM | score 70.98 | RS 0.879 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.11,KNOWN,WIDE_OR_INCOHERENT,LOW,81.48,66.2,84.4,,75.5,asset=81.48; setup=66.2; context=84.4; institutional=None,30.600000381469727,29.015357630593435,33.76928588322231,30.600000381469727,29.015357630593435,33.76928588322231,7,18,-11,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260727T155819342631Z,2026-07-27T15:58:19.342631+00:00,2026-07-27,America/New_York
8,HQY,"HealthEquity, Inc.",NMS,EQUITY,United States,Healthcare,Health Information Services,8265682944,neutral,70.43,0.844,1.0,excellent,0.531,0.467,0.78,0.7,True,1.0,0.65,0.7388,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,RECLAIM,True,94.93324966430664,98.46499633789062,94.17960493905204,107.0357791355678,2.0,0.029014651962428823,0.1827100923140514,98.46499633789062,867565.65,940380.2166666667,786400.0,867565.65,85424848.5501297,0.9064443710974495,0.5518924251077305,69.73,122.88,952506.0,788150.0,157702.0,2026-09-01,35.0,False,False,0.072,0.344,0.29343998,0.17252001,48.094,0.11062,0.70677,0.064559996,36.928837,18.10144,4.041812,6.1812162,17.216,0.0797,4.88,1.08311,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-27T15:55:35+00:00,1785167735.0,,,REGULAR,REGULAR,2026-07-27T15:55:42.388961+00:00,yahoo_quote_summary,WATCHLIST,,RECLAIM | score 70.43 | RS 0.844 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.11,KNOWN,WIDE_OR_INCOHERENT,LOW,91.29,66.53,77.03,,76.32,asset=91.29; setup=66.53; context=77.03; institutional=None,98.46499633789062,94.17960493905204,107.0357791355678,98.46499633789062,94.17960493905204,107.0357791355678,8,7,1,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260727T155819342631Z,2026-07-27T15:58:19.342631+00:00,2026-07-27,America/New_York
9,THC,Tenet Healthcare Corporation,NYQ,EQUITY,United States,Healthcare,Medical Care Facilities,21148356608,neutral,70.2,0.932,0.85,excellent,0.515,0.467,0.78,0.7,True,1.0,0.74,0.7284,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,RECLAIM,True,199.26475143432617,244.64500427246094,228.5757157461984,276.783581324986,2.0,0.043789404363137815,0.5376053635866215,244.64500427246094,1234457.55,1446662.5166666666,1131950.0,1234457.55,302003872.59392166,0.9169614621418127,0.0012170385395537987,246.35,246.65,1507191.0,1714620.0,659795.0,2026-07-23,-5.0,False,False,0.158,2.134,0.24599001,0.099,152.276,0.37337002,0.43787,0.1,9.477959,12.7221575,4.384929,0.93264025,6.131,0.0401,2.24,0.9813,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-27T15:54:37+00:00,1785167677.0,,,REGULAR,REGULAR,2026-07-27T15:54:50.688675+00:00,yahoo_quote_summary,WATCHLIST,,RECLAIM | score 70.2 | RS 0.932 | trend 0.85 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.11,KNOWN,VALID,HIGH,85.95,68.38,74.97,,75.09,asset=85.95; setup=68.38; context=74.97; institutional=None,244.64500427246094,228.5757157461984,276.783581324986,244.64500427246094,228.5757157461984,276.783581324986,9,20,-11,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260727T155819342631Z,2026-07-27T15:58:19.342631+00:00,2026-07-27,America/New_York
10,HRB,"H&R Block, Inc.",NYQ,EQUITY,United States,Consumer Cyclical,Personal Services,5380337152,neutral,70.18,0.887,0.85,excellent,0.487,0.427,0.78,0.7,True,1.0,1.0,0.6039,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,RECLAIM,True,40.01350021362305,42.459999084472656,40.169284684317454,47.04142788478306,2.0,0.03596662662188489,0.3009019387930648,42.459999084472656,1835667.8,2379022.6,1664550.0,1835667.8,77942453.10739593,0.9067817172584277,0.0007051357386297129,42.53,42.56,2394211.0,1695070.0,549857.0,2026-08-11,14.0,False,False,0.053,0.242,0.43235,0.18902001,,,0.44298,0.16992001,7.593918,7.2906823,-221.09375,1.3756677,6.197,0.2252,8.58,1.00585,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-27T15:55:00+00:00,1785167700.0,,,REGULAR,REGULAR,2026-07-27T15:55:50.796586+00:00,yahoo_quote_summary,WATCHLIST,,RECLAIM | score 70.18 | RS 0.887 | trend 0.85 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.11,KNOWN,VALID,HIGH,81.8,74.17,72.13,,75.72,asset=81.8; setup=74.17; context=72.13; institutional=None,42.459999084472656,40.169284684317454,47.04142788478306,42.459999084472656,40.169284684317454,47.04142788478306,10,14,-4,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260727T155819342631Z,2026-07-27T15:58:19.342631+00:00,2026-07-27,America/New_York
11,SKYW,"SkyWest, Inc.",NMS,EQUITY,United States,Industrials,Airlines,4333083648,neutral,70.11,0.691,0.85,excellent,0.55,0.76,0.78,0.7,True,1.0,0.86,0.4701,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,RECLAIM,True,98.68249969482422,109.4000015258789,103.64321626935687,120.913572038923,2.0000000000000027,0.03508095780760574,0.38907324516830166,109.4000015258789,454012.2,417532.4,400950.0,454012.2,49668935.37276764,0.8831260481546531,0.45041426060758216,77.15,122.0,428113.0,483760.0,172319.0,2026-07-23,-5.0,False,False,0.065,-0.127,0.14130999,0.09782,86.333,0.15341,0.30895,0.050380003,10.848063,9.029666,1.5897084,1.0338963,6.078,0.0671,4.19,0.95148003,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-07-27T15:54:31+00:00,1785167671.0,,,REGULAR,REGULAR,2026-07-27T15:54:52.900216+00:00,yahoo_quote_summary,WATCHLIST,,RECLAIM | score 70.11 | RS 0.691 | trend 0.85 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.11,KNOWN,WIDE_OR_INCOHERENT,LOW,77.34,72.25,76.7,,74.9,asset=77.34; setup=72.25; context=76.7; institutional=None,109.4000015258789,103.64321626935687,120.913572038923,109.4000015258789,103.64321626935687,120.913572038923,11,21,-10,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260727T155819342631Z,2026-07-27T15:58:19.342631+00:00,2026-07-27,America/New_York
