rank,ticker,company,exchange,quote_type,country,sector,industry,market_cap,market_regime,final_score,rs_score,trend_score,trend_status,volume_score,sector_score,structure_score,rr_score,liquidity_pass,liquidity_score,momentum_score,fundamental_score,options_score,options_bias,options_confidence,options_crowded_bullish,setup_type,trigger_confirmed,trigger_level,entry,stop,target,rr,atr_pct,relative_volume,price,avg_volume_20d,avg_volume_60d,median_volume_20d,mean_volume_20d,dollar_volume_20d,median_to_mean_volume_ratio,spread_pct,bid,ask,average_volume_yf,average_volume_10d_yf,regular_market_volume_yf,earnings_date,days_to_earnings,earnings_veto,earnings_penalty,revenue_growth,earnings_growth,operating_margins,profit_margins,debt_to_equity,return_on_equity,gross_margins,return_on_assets,trailing_pe,forward_pe,price_to_book,price_to_sales_ttm,enterprise_to_ebitda,short_percent_float,short_ratio,held_percent_institutions,options_data_available,options_source,options_expirations_used,call_volume,put_volume,call_open_interest,put_open_interest,put_call_volume_ratio,put_call_oi_ratio,call_volume_share,call_oi_share,near_call_volume,near_put_volume,near_call_open_interest,near_put_open_interest,near_put_call_volume_ratio,near_put_call_oi_ratio,near_call_oi_share,max_call_oi_strike,max_call_oi,max_put_oi_strike,max_put_oi,max_pain_approx,atm_implied_volatility,call_volume_to_oi,put_volume_to_oi,total_option_volume,total_option_open_interest,warnings,scanner_stage,quote_timestamp,regular_market_time,pre_market_time,post_market_time,market_session,market_state_raw,metadata_fetched_at,quote_timestamp_source,signal,veto_reasons,reason_summary,all_veto_reasons,source_channel,validation_status,data_quality_warning,universe_veto_reasons,metadata_source,cache_schema_version,currency,enterprise_value,shares_outstanding,average_volume,average_volume_10d,bid_size,ask_size,regular_market_volume,total_debt,total_cash,free_cashflow,operating_cashflow,earnings_quarterly_growth,eps_trailing_twelve_months,eps_forward,peg_ratio,held_percent_insiders,fundamental_warning,early_veto_reasons,penalty_reasons,quote_age_seconds,quote_temporal_status,quote_status,execution_quote_quality,asset_quality_score,setup_quality_score,context_score,institutional_score,final_trade_score,score_breakdown,theoretical_entry,theoretical_stop,theoretical_target,actionable_entry,actionable_stop,actionable_target,legacy_rank,trade_rank,rank_delta,legacy_rank_basis,trade_rank_basis,run_trust_status,run_trust_reasons,critical_essential_sources,run_manual_review_required,schema_version,backtest_run_id,generated_at_utc,market_date_et,exchange_timezone
1,AUPH,Aurinia Pharmaceuticals Inc,NGM,EQUITY,Canada,Healthcare,Biotechnology,2229272320.0,neutral,75.94,0.708,1.0,excellent,0.351,0.739,0.82,1.0,True,1.0,1.0,0.9389,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,16.359250164031984,16.75,16.14090394973755,19.25,4.104442967447883,0.02424262886616721,0.37784809460748836,16.75,907780.15,1332255.05,765750.0,907780.15,15205317.512500001,0.8435412472942926,0.2948207171314742,12.84,17.28,1370591.0,782210.0,342279.0,2026-11-09,53.0,False,False,0.189,0.755,0.55685,1.0083699,10.431,0.66117996,0.77884,0.15489,7.350833,15.7123575,3.6229787,7.158504,9.827,0.074499995,7.71,0.60421,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-09-16T17:39:36+00:00,1789580376.0,,,REGULAR,REGULAR,2026-09-16T17:39:41.575829+00:00,yahoo_quote_summary,WATCHLIST,,PULLBACK | score 75.94 | RS 0.708 | trend 1.0 | R:R 4.1 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,169.72,KNOWN,WIDE_OR_INCOHERENT,LOW,97.96,79.28,81.57,,85.1,asset=97.96; setup=79.28; context=81.57; institutional=None,16.75,16.14090394973755,19.25,,,,1,1,0,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260916T174225862590Z,2026-09-16T17:42:25.862590+00:00,2026-09-16,America/New_York
2,DVN,Devon Energy Corporation,NYQ,EQUITY,United States,Energy,Oil & Gas E&P,54107897856.0,neutral,74.88,0.705,1.0,excellent,0.452,0.824,0.82,0.7,True,1.0,1.0,0.8687,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,48.718749809265134,49.21500015258789,47.18946375165667,53.26607295445034,2.0,0.027437927388684735,0.750223075737038,49.21500015258789,10169920.45,11060273.483333332,9865000.0,10169920.45,500512636.4985567,0.9700174203427521,,0.0,0.0,11733191.0,11220100.0,7612150.0,2026-11-04,49.0,False,False,0.642,0.44,0.41077,0.17464,28.488,0.11522,0.50349,0.05909,10.696239,9.177742,1.3552597,2.881794,7.553,0.026199998,2.66,0.94738,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-09-16T17:41:08+00:00,1789580468.0,,,REGULAR,REGULAR,2026-09-16T17:41:19.314590+00:00,yahoo_quote_summary,WATCHLIST,,PULLBACK | score 74.88 | RS 0.705 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,77.72,KNOWN,INVALID,LOW,95.62,74.3,84.3,,83.0,asset=95.62; setup=74.3; context=84.3; institutional=None,49.21500015258789,47.18946375165667,53.26607295445034,,,,2,2,0,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260916T174225862590Z,2026-09-16T17:42:25.862590+00:00,2026-09-16,America/New_York
3,VG,"Venture Global, Inc.",NYQ,EQUITY,United States,Energy,Oil & Gas Midstream,37288886272.0,neutral,74.8,0.829,1.0,excellent,0.427,0.824,0.82,0.7,True,1.0,0.86,0.8177,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,14.695074987411498,14.931500434875488,13.90025063923427,16.994000026157924,2.0,0.046043588637282515,0.43510031200112087,14.931500434875488,13353653.95,14066182.983333332,13014250.0,13353653.95,199390089.76160178,0.9745834397633166,,0.0,0.0,14346483.0,15070810.0,5805351.0,2026-11-09,53.0,False,False,0.476,2.643,0.47794,0.22052,354.624,0.33641997,0.46923,0.07379,11.400764,14.974684,4.3516903,2.2027545,11.083,0.78209996,3.21,0.88222003,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-09-16T17:41:20+00:00,1789580480.0,,,REGULAR,REGULAR,2026-09-16T17:41:36.126948+00:00,yahoo_quote_summary,WATCHLIST,,PULLBACK | score 74.8 | RS 0.829 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,65.72,KNOWN,INVALID,LOW,93.92,70.17,88.43,,81.84,asset=93.92; setup=70.17; context=88.43; institutional=None,14.931500434875488,13.90025063923427,16.994000026157924,,,,3,3,0,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260916T174225862590Z,2026-09-16T17:42:25.862590+00:00,2026-09-16,America/New_York
4,TGTX,"TG Therapeutics, Inc.",NCM,EQUITY,United States,Healthcare,Biotechnology,8560433664.0,neutral,74.59,0.781,1.0,excellent,0.545,0.739,0.82,0.7,True,1.0,0.65,0.6455,0.8665,BULLISH_WITH_DATA,HIGH,False,PULLBACK,True,54.77275009155274,56.130001068115234,52.633715765816824,63.122571672712056,2.0,0.04152604353900481,0.7578135549563442,56.130001068115234,1841012.2,2165475.7333333334,1402472.0,1841012.2,103336016.75241317,0.7617939739888742,0.2968387212002143,47.68,64.3,2311301.0,1647230.0,1392777.0,2026-11-02,46.0,False,False,0.703,-0.706,0.090179995,0.55218,124.89,1.0028,0.82372004,0.07276,20.456203,18.90388,13.62421,10.731643,56.62,0.2845,13.73,0.74277997,True,yfinance,2026-10-16,1319.0,565.0,2079.0,301.0,0.42835481425322214,0.1447811447811448,0.7001061571125266,0.8735294117647059,210.0,341.0,324.0,56.0,1.6238095238095238,0.1728395061728395,0.8526315789473684,75.0,531.0,50.0,127.0,50.0,0.5477340148925782,0.6344396344396345,1.8770764119601329,1884.0,2380.0,,FULL_SCORE,2026-09-16T17:38:48+00:00,1789580328.0,,,REGULAR,REGULAR,2026-09-16T17:39:02.626611+00:00,yahoo_quote_summary,WATCHLIST,,PULLBACK | score 74.59 | RS 0.781 | trend 1.0 | R:R 2.0 | opt BULLISH_WITH_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,217.72,KNOWN,WIDE_OR_INCOHERENT,LOW,88.18,67.88,84.0,86.65,78.86,asset=88.18; setup=67.88; context=84.0; institutional=86.65,56.130001068115234,52.633715765816824,63.122571672712056,,,,4,7,-3,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260916T174225862590Z,2026-09-16T17:42:25.862590+00:00,2026-09-16,America/New_York
5,HALO,"Halozyme Therapeutics, Inc.",NMS,EQUITY,United States,Healthcare,Biotechnology,12431435776.0,neutral,73.59,0.838,1.0,excellent,0.512,0.739,0.82,0.7,True,1.0,0.65,0.8282,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,107.8560001373291,109.01000213623047,105.16035842895508,116.70928955078125,2.0,0.02354306107595807,0.46884228594123784,109.01000213623047,1445490.35,1915815.1166666667,1520950.0,1445490.35,157572906.14140055,1.0522034962045923,0.10358126721763086,103.26,114.54,1944291.0,1324390.0,674794.0,2026-11-02,47.0,False,False,0.477,0.429,0.59803003,0.24858999,1517.687,1.73674,0.76271003,0.25492,32.00293,10.500277,86.67991,7.444704,13.331,0.1719,6.5,1.12133,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-09-16T17:39:53+00:00,1789580393.0,,,REGULAR,REGULAR,2026-09-16T17:40:09.253198+00:00,yahoo_quote_summary,WATCHLIST,,PULLBACK | score 73.59 | RS 0.838 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,152.72,KNOWN,WIDE_OR_INCOHERENT,LOW,94.27,67.05,85.9,,79.85,asset=94.27; setup=67.05; context=85.9; institutional=None,109.01000213623047,105.16035842895508,116.70928955078125,,,,5,5,0,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260916T174225862590Z,2026-09-16T17:42:25.862590+00:00,2026-09-16,America/New_York
6,MRNA,"Moderna, Inc.",NMS,EQUITY,United States,Healthcare,Biotechnology,59186720768.0,neutral,72.81,1.0,1.0,excellent,0.51,0.739,0.82,0.7,True,1.0,0.65,0.3178,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,145.78650131225587,147.92999267578125,133.10099356515067,177.5879908970424,2.0,0.06682890486416936,0.1313338918638422,147.92999267578125,34754532.4,16147937.466666667,17566950.0,34754532.4,5141237723.382202,0.5054578147626005,0.10120351953612239,140.81,155.82,16277453.0,13225100.0,4529208.0,2026-11-05,49.0,False,False,0.021,,-5.5793104,-1.41427,19.036,-0.38998002,-0.66023004,-0.13256,,-33.227085,8.763028,26.607874,-24.395,0.119799994,1.36,0.8044,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-09-16T17:40:09+00:00,1789580409.0,,,REGULAR,REGULAR,2026-09-16T17:40:11.835456+00:00,yahoo_quote_summary,WATCHLIST,,PULLBACK | score 72.81 | RS 1.0 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,136.72,KNOWN,WIDE_OR_INCOHERENT,LOW,77.26,67.0,91.3,,76.6,asset=77.26; setup=67.0; context=91.3; institutional=None,147.92999267578125,133.10099356515067,177.5879908970424,,,,7,12,-5,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260916T174225862590Z,2026-09-16T17:42:25.862590+00:00,2026-09-16,America/New_York
7,PR,Permian Resources Corporation,NYQ,EQUITY,United States,Energy,Oil & Gas E&P,19251249152.0,neutral,72.51,0.752,0.8,acceptable,0.461,0.824,0.82,1.0,True,1.0,0.51,0.8829,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,23.5142502784729,23.024999618530273,22.35267515182495,25.19099916730608,3.221658077371676,0.03135721439972918,0.8898286674668562,23.024999618530273,9674832.15,9368404.05,9167000.0,9674832.15,222763006.56309444,0.9475099782480464,,0.0,0.0,9774767.0,8343430.0,8591232.0,2026-11-04,49.0,False,False,0.551,2.329,0.57444,0.21523,26.246,0.114029996,0.75848997,0.07537,14.854839,10.356926,1.6062086,3.3612673,5.53,0.0247,2.04,0.92724997,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-09-16T17:41:10+00:00,1789580470.0,,,REGULAR,REGULAR,2026-09-16T17:41:13.808319+00:00,yahoo_quote_summary,WATCHLIST,,PULLBACK | score 72.51 | RS 0.752 | trend 0.8 | R:R 3.22 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,75.72,KNOWN,INVALID,LOW,89.43,69.78,79.2,,77.86,asset=89.43; setup=69.78; context=79.2; institutional=None,23.024999618530273,22.35267515182495,25.19099916730608,,,,9,10,-1,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260916T174225862590Z,2026-09-16T17:42:25.862590+00:00,2026-09-16,America/New_York
8,XOM,ExxonMobil Holdings Corporation,NYQ,EQUITY,United States,Energy,Oil & Gas Integrated,676738498560.0,neutral,71.3,0.656,1.0,excellent,0.198,0.824,0.82,0.7,True,1.0,1.0,0.79,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,162.93300094604493,164.75999450683594,158.9882093157087,176.3035648890904,2.0,0.023354314896661232,0.46089422441199795,164.75999450683594,13387915.65,14382658.55,13702000.0,13387915.65,2205792908.951983,1.0234602874869472,,0.0,0.0,15117725.0,13261100.0,6163427.0,2026-10-30,43.0,False,False,0.441,1.128,0.15859,0.09072,15.921,0.12584,0.29767,0.055209998,21.200771,15.2659645,2.6114457,1.8760185,10.815,0.0108,2.77,0.67060995,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-09-16T17:41:29+00:00,1789580489.0,,,REGULAR,REGULAR,2026-09-16T17:41:30.003862+00:00,yahoo_quote_summary,WATCHLIST,,PULLBACK | score 71.3 | RS 0.656 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,56.72,KNOWN,INVALID,LOW,93.0,67.95,82.67,,79.0,asset=93.0; setup=67.95; context=82.67; institutional=None,164.75999450683594,158.9882093157087,176.3035648890904,,,,15,6,9,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260916T174225862590Z,2026-09-16T17:42:25.862590+00:00,2026-09-16,America/New_York
9,ANF,Abercrombie & Fitch Company,NYQ,EQUITY,United States,Consumer Cyclical,Apparel Retail,6047322624.0,neutral,71.29,0.975,1.0,excellent,0.541,0.315,0.78,0.7,True,1.0,0.65,0.7071,0.6403,NEUTRAL_WITH_DATA,HIGH,False,RECLAIM,True,135.30749855041503,142.4600067138672,132.76732689993722,161.84536634172713,2.0,0.0453586005762204,0.26470581369637586,142.4600067138672,2484660.2,1527281.7333333334,1483150.0,2484660.2,353964708.7736786,0.5969226697477586,,0.0,0.0,1541083.0,1615390.0,654159.0,2026-11-25,69.0,False,False,0.048,0.433,0.19941,0.10035,93.997,0.40609002,0.63675,0.13628,12.306562,11.098227,4.464459,1.13226,6.983,0.1363,1.99,1.15544,True,yfinance,"2026-09-25,2026-10-02,2026-10-09",626.0,392.0,1940.0,1309.0,0.6261980830670927,0.6747422680412372,0.6149312377210217,0.5971068020929516,70.0,80.0,216.0,450.0,1.1428571428571428,2.0833333333333335,0.32432432432432434,167.5,285.0,140.0,136.0,139.0,0.5268602001953125,0.32268041237113404,0.2994652406417112,1018.0,3249.0,,FULL_SCORE,2026-09-16T17:38:13+00:00,1789580293.0,,,REGULAR,REGULAR,2026-09-16T17:38:59.829101+00:00,yahoo_quote_summary,WATCHLIST,,RECLAIM | score 71.29 | RS 0.975 | trend 1.0 | R:R 2.0 | opt NEUTRAL_WITH_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,252.72,KNOWN,INVALID,LOW,90.24,66.78,76.33,64.03,74.76,asset=90.24; setup=66.78; context=76.33; institutional=64.03,142.4600067138672,132.76732689993722,161.84536634172713,,,,16,19,-3,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260916T174225862590Z,2026-09-16T17:42:25.862590+00:00,2026-09-16,America/New_York
10,SHC,Sotera Health Company,NMS,EQUITY,United States,Healthcare,Diagnostics & Research,5580504064.0,neutral,70.37,0.792,1.0,excellent,0.531,0.739,0.78,0.7,True,1.0,0.4,0.671,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,RECLAIM,True,18.991149997711183,19.542999267578125,18.91782079424177,20.79335621425084,2.0000000000000058,0.02132659594284242,0.3713550530264868,19.542999267578125,1847972.7,2666407.566666667,1802050.0,1847972.7,36114929.12260437,0.9751496870056576,0.1609076843733884,17.83,20.95,2697585.0,1721490.0,684384.0,2026-11-03,47.0,False,False,0.092,5.695,0.37956002,0.13442001,340.734,0.27781,0.54969,0.08603,33.698277,18.183594,8.377625,4.5862308,12.709,0.0484,4.39,1.0570301,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-09-16T17:40:09+00:00,1789580409.0,,,REGULAR,REGULAR,2026-09-16T17:40:14.095789+00:00,yahoo_quote_summary,WATCHLIST,,RECLAIM | score 70.37 | RS 0.792 | trend 1.0 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,136.72,KNOWN,WIDE_OR_INCOHERENT,LOW,89.03,60.27,84.37,,74.95,asset=89.03; setup=60.27; context=84.37; institutional=None,19.542999267578125,18.91782079424177,20.79335621425084,,,,20,18,2,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260916T174225862590Z,2026-09-16T17:42:25.862590+00:00,2026-09-16,America/New_York
11,OXY,Occidental Petroleum Corporatio,NYQ,EQUITY,United States,Energy,Oil & Gas E&P,60263137280.0,neutral,69.01,0.655,0.8,acceptable,0.464,0.824,0.82,0.7,True,1.0,0.51,0.901,0.5,UNKNOWN_OPTIONS_FLOW,UNKNOWN,False,PULLBACK,True,60.55849990844727,60.290000915527344,57.89717824118478,65.07564626421247,2.0,0.02645903287451332,0.8732001291357211,60.290000915527344,7305027.55,8438274.183333334,6910150.0,7305027.55,440420117.67745245,0.9459444133102551,,0.0,0.0,8568709.0,7700000.0,6370203.0,2026-11-09,54.0,False,False,0.534,9.649,0.45443,0.30318,34.511,0.10629,0.73318,0.046830002,17.78525,14.942256,1.8014281,2.5190227,6.043,0.0001,0.01,0.58024,False,disabled_or_limit,,,,,,,,,,,,,,,,,,,,,,,,,,,"options_flow desactivado, sin spot válido o límite alcanzado",FULL_SCORE,2026-09-16T17:41:26+00:00,1789580486.0,,,REGULAR,REGULAR,2026-09-16T17:41:28.044211+00:00,yahoo_quote_summary,WATCHLIST,,PULLBACK | score 69.01 | RS 0.655 | trend 0.8 | R:R 2.0 | opt UNKNOWN_OPTIONS_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,execution_quote_unconfirmed,59.72,KNOWN,INVALID,LOW,90.03,62.35,75.97,,73.82,asset=90.03; setup=62.35; context=75.97; institutional=None,60.290000915527344,57.89717824118478,65.07564626421247,,,,22,23,-1,final_score,final_trade_score,UNUSABLE,essential_source_price_history_yahoo_critical; supporting_source_fundamentals_yahoo_critical,price_history_yahoo,True,2.1,20260916T174225862590Z,2026-09-16T17:42:25.862590+00:00,2026-09-16,America/New_York
