observation_id,run_id,ticker,decision_date,setup_type,macro_regime,sector,final_signal,legacy_rank,proposed_rank,p0_valid,eligible_for_contract,engine_version,activated,status,entry_session,entry_fill,exit_session,exit_fill,exit_reason,holding_sessions,trade_return_pct,trade_return_r,mfe_pct,mae_pct,ambiguous_same_bar,observed_sessions
20260723T153344068192Z-MEDP,20260723T153344068192Z,MEDP,2026-07-23,BREAKOUT,risk_off,Healthcare,TRIGGER_CONFIRMED,1,1,False,True,backtest-fill-3,True,OPEN,2026-07-28,597.3,,,NONE,14,,,1.82,-5.67,False,16
20260723T153344068192Z-NSC,20260723T153344068192Z,NSC,2026-07-23,BREAKOUT,risk_off,Industrials,TRIGGER_CONFIRMED,3,4,False,True,backtest-fill-3,False,NOT_TRIGGERED,,,,,NONE,16,,,,,False,16
20260723T153344068192Z-VIST,20260723T153344068192Z,VIST,2026-07-23,PULLBACK,risk_off,Energy,TRIGGER_CONFIRMED,4,2,False,True,backtest-fill-3,True,CLOSED_STOP,2026-07-24,69.68,2026-07-28,65.93,STOP,3,-5.39,-1.01,0.42,-9.05,False,15
20260728T154332907566Z-IQV,20260728T154332907566Z,IQV,2026-07-28,BREAKOUT,neutral,Healthcare,TRIGGER_CONFIRMED,2,3,False,True,backtest-fill-3,True,OPEN,2026-08-10,240.35,,,NONE,5,,,2.06,-1.86,False,12
20260728T154332907566Z-GRND,20260728T154332907566Z,GRND,2026-07-28,RECLAIM,neutral,Technology,TRIGGER_CONFIRMED,5,2,False,True,backtest-fill-3,True,CLOSED_AMBIGUOUS,2026-08-07,16.45,2026-08-07,,AMBIGUOUS_ENTRY_STOP_SAME_BAR,1,,,,,True,13
20260730T152954356054Z-GKOS,20260730T152954356054Z,GKOS,2026-07-30,BREAKOUT,risk_off,Healthcare,TRIGGER_CONFIRMED,2,3,False,True,backtest-fill-3,False,NOT_TRIGGERED,,,,,NONE,10,,,,,False,10
20260730T152954356054Z-BBVA,20260730T152954356054Z,BBVA,2026-07-30,RECLAIM,risk_off,Financial Services,TRIGGER_CONFIRMED,3,2,False,True,backtest-fill-3,False,NOT_TRIGGERED,,,,,NONE,10,,,,,False,10
20260730T152954356054Z-BAX,20260730T152954356054Z,BAX,2026-07-30,BREAKOUT,risk_off,Healthcare,TRIGGER_CONFIRMED,4,7,False,True,backtest-fill-3,True,OPEN,2026-08-03,27.51,,,NONE,10,,,3.17,-3.45,False,11
20260804T154628297689Z-PAY,20260804T154628297689Z,PAY,2026-08-04,BREAKOUT,risk_on,Technology,TRIGGER_CONFIRMED,3,4,False,True,backtest-fill-3,True,OPEN,2026-08-13,42.77,,,NONE,2,,,0.01,-4.6,False,8
20260804T154628297689Z-W,20260804T154628297689Z,W,2026-08-04,BREAKOUT,risk_on,Consumer Cyclical,TRIGGER_CONFIRMED,4,5,False,True,backtest-fill-3,False,NOT_TRIGGERED,,,,,NONE,8,,,,,False,8
20260804T154628297689Z-AVGO,20260804T154628297689Z,AVGO,2026-08-04,RECLAIM,risk_on,Technology,TRIGGER_CONFIRMED,5,3,False,True,backtest-fill-3,True,CLOSED_STOP,2026-08-13,416.03,2026-08-14,390.15,STOP,2,-6.22,-1.01,2.14,-6.62,False,8
20260813T144009963304Z-TBBB,20260813T144009963304Z,TBBB,2026-08-13,BREAKOUT,risk_on,Consumer Defensive,TRIGGER_CONFIRMED,1,4,False,True,backtest-fill-3,True,OPEN,2026-08-14,49.39,,,NONE,1,,,1.64,0.0,False,1
20260813T144009963304Z-OVV,20260813T144009963304Z,OVV,2026-08-13,PULLBACK,risk_on,Energy,TRIGGER_CONFIRMED,5,3,False,True,backtest-fill-3,False,NOT_TRIGGERED,,,,,NONE,1,,,,,False,1
20260813T144009963304Z-OXY,20260813T144009963304Z,OXY,2026-08-13,PULLBACK,risk_on,Energy,TRIGGER_CONFIRMED,7,1,False,True,backtest-fill-3,False,NOT_TRIGGERED,,,,,NONE,1,,,,,False,1
20260813T144009963304Z-CNQ,20260813T144009963304Z,CNQ,2026-08-13,PULLBACK,risk_on,Energy,TRIGGER_CONFIRMED,10,2,False,True,backtest-fill-3,False,NOT_TRIGGERED,,,,,NONE,1,,,,,False,1
