rank,ticker,company,exchange,quote_type,country,sector,industry,market_cap,market_regime,final_score,rs_score,trend_score,trend_status,volume_score,sector_score,structure_score,rr_score,liquidity_pass,liquidity_score,momentum_score,fundamental_score,options_score,options_bias,options_confidence,options_crowded_bullish,setup_type,trigger_confirmed,trigger_level,entry,stop,target,rr,atr_pct,relative_volume,price,avg_volume_20d,avg_volume_60d,median_volume_20d,mean_volume_20d,dollar_volume_20d,median_to_mean_volume_ratio,spread_pct,bid,ask,average_volume_yf,average_volume_10d_yf,regular_market_volume_yf,earnings_date,days_to_earnings,earnings_veto,earnings_penalty,revenue_growth,earnings_growth,operating_margins,profit_margins,debt_to_equity,return_on_equity,gross_margins,return_on_assets,trailing_pe,forward_pe,price_to_book,price_to_sales_ttm,enterprise_to_ebitda,short_percent_float,short_ratio,held_percent_institutions,options_data_available,options_source,options_expirations_used,call_volume,put_volume,call_open_interest,put_open_interest,put_call_volume_ratio,put_call_oi_ratio,call_volume_share,call_oi_share,near_call_volume,near_put_volume,near_call_open_interest,near_put_open_interest,near_put_call_volume_ratio,near_put_call_oi_ratio,near_call_oi_share,max_call_oi_strike,max_call_oi,max_put_oi_strike,max_put_oi,max_pain_approx,atm_implied_volatility,call_volume_to_oi,put_volume_to_oi,total_option_volume,total_option_open_interest,warnings,signal,veto_reasons,reason_summary
1,ARGX,argenx SE,NMS,EQUITY,Netherlands,Healthcare,Biotechnology,55703015424,risk_on,87.03,0.90,0.85,excellent,0.97,0.79,1.00,0.70,True,1.00,1.00,0.90,0.77,BULLISH,HIGH,False,BREAKOUT,True,850.25,891.32,854.16,965.64,2.00,0.03,2.46,891.32,322363.30,321777.77,310550.00,322363.30,287328858.92,0.96,,885.79,822.88,323457.00,272270.00,794053.00,2026-07-23,46,False,False,0.63,1.14,0.30,0.31,0.64,,0.58,,39.63,24.14,188.30,11.75,38.63,0.03,6.70,0.47,True,yfinance,"2026-06-18,2026-07-17",866.00,661.00,1956.00,1697.00,0.76,0.87,0.57,0.54,341.00,43.00,593.00,67.00,0.13,0.11,0.90,920.00,306.00,740.00,300.00,780.00,0.41,0.44,0.39,1527.00,3653.00,,BUY_SETUP_ACTIVE,,BREAKOUT | score 87.03 | RS 0.904 | trend 0.85 | R:R 2.0 | opt BULLISH
2,ABM,ABM Industries Incorporated,NYQ,EQUITY,United States,Industrials,Specialty Business Services,2489986304,risk_on,76.55,0.69,0.60,weak,0.88,0.89,1.00,0.70,True,1.00,0.75,0.28,0.71,BULLISH,HIGH,True,BREAKOUT,True,41.17,42.54,40.76,46.11,2.00,0.03,2.67,42.54,520046.15,546240.38,447100.00,520046.15,22122763.70,0.86,,0.00,0.00,546828.00,492080.00,1387823.00,2026-06-05,-2,False,False,0.06,-0.07,0.03,0.02,100.84,0.09,0.13,0.04,16.75,9.79,1.45,0.28,9.26,0.07,6.67,1.01,True,yfinance,"2026-06-18,2026-07-17",2791.00,382.00,494.00,406.00,0.14,0.82,0.88,0.55,242.00,261.00,275.00,113.00,1.08,0.41,0.71,45.00,148.00,35.00,162.00,40.00,0.68,5.65,0.94,3173.00,900.00,put/call extremadamente bajo: posible crowded trade,WATCHLIST,,BREAKOUT | score 76.55 | RS 0.692 | trend 0.6 | R:R 2.0 | opt BULLISH
3,ALL,Allstate Corporation (The),NYQ,EQUITY,United States,Financial Services,Insurance - Property & Casualty,56892596224,risk_on,74.24,0.73,1.00,excellent,0.60,0.42,0.78,0.70,True,1.00,0.75,0.77,0.65,NEUTRAL,HIGH,False,RECLAIM,True,214.22,221.01,212.35,238.32,2.00,0.03,0.74,221.01,1721464.10,1520096.37,1534850.00,1721464.10,380460771.28,0.89,,0.00,0.00,1506628.00,1689010.00,1267582.00,2026-04-29,-39,False,False,0.03,3.38,0.19,0.18,23.72,0.45,0.34,0.08,4.89,8.42,1.93,0.83,4.11,0.00,0.01,0.85,True,yfinance,"2026-06-18,2026-07-17",1476.00,870.00,6523.00,8602.00,0.59,1.32,0.63,0.43,129.00,625.00,1305.00,4396.00,4.84,3.37,0.23,250.00,1549.00,210.00,2456.00,220.00,0.32,0.23,0.10,2346.00,15125.00,,WATCHLIST,,RECLAIM | score 74.24 | RS 0.731 | trend 1.0 | R:R 2.0 | opt NEUTRAL
4,FIZZ,National Beverage Corp.,NMS,EQUITY,United States,Consumer Defensive,Beverages - Non-Alcoholic,3418508032,risk_on,72.77,0.73,0.85,excellent,0.73,0.57,0.78,0.70,True,1.00,0.65,0.63,0.45,NEUTRAL,MEDIUM,True,RECLAIM,True,35.54,36.51,34.71,40.10,2.00,0.03,1.30,36.51,317718.60,262419.53,317700.00,317718.60,11599905.55,1.00,0.52,26.31,44.83,259652.00,319460.00,413072.00,2026-03-12,-87,False,False,-0.01,0.05,0.19,0.16,10.60,0.38,0.37,0.21,18.26,18.14,5.73,2.86,12.18,0.11,11.01,0.26,True,yfinance,"2026-06-18,2026-07-17",1583.00,6.00,214.00,182.00,0.00,0.85,1.00,0.54,0.00,2.00,0.00,139.00,,,0.00,35.00,88.00,35.00,133.00,35.00,0.70,7.40,0.03,1589.00,396.00,put/call extremadamente bajo: posible crowded trade,WATCHLIST,,RECLAIM | score 72.77 | RS 0.731 | trend 0.85 | R:R 2.0 | opt NEUTRAL
5,CHEF,"The Chefs' Warehouse, Inc.",NMS,EQUITY,United States,Consumer Defensive,Food Distribution,3292385536,risk_on,70.75,0.73,1.00,excellent,0.71,0.57,0.78,0.70,True,1.00,0.40,0.50,0.27,BEARISH,MEDIUM,False,RECLAIM,True,78.60,80.74,76.80,88.62,2.00,0.03,1.12,80.74,388743.10,457137.70,373950.00,388743.10,31387117.06,0.96,0.53,57.88,99.67,460063.00,375120.00,435862.00,2026-07-29,52,False,False,0.11,0.61,0.03,0.02,160.72,0.14,0.24,0.05,44.12,30.90,5.41,0.77,17.26,0.14,8.32,1.01,True,yfinance,"2026-06-18,2026-07-17",22.00,78.00,146.00,369.00,3.55,2.53,0.22,0.28,1.00,15.00,4.00,37.00,15.00,9.25,0.10,90.00,53.00,50.00,159.00,80.00,0.68,0.15,0.21,100.00,515.00,,WATCHLIST,,RECLAIM | score 70.75 | RS 0.731 | trend 1.0 | R:R 2.0 | opt BEARISH
6,COKE,"Coca-Cola Consolidated, Inc.",NMS,EQUITY,United States,Consumer Defensive,Beverages - Non-Alcoholic,11975582720,risk_on,69.14,0.38,0.60,weak,0.67,0.57,0.78,1.00,True,1.00,0.61,0.60,0.71,BULLISH,HIGH,False,RECLAIM,True,173.28,179.91,169.69,219.65,3.89,0.04,1.13,179.91,651456.80,568827.27,619100.00,651456.80,117203595.27,0.95,0.15,166.48,193.94,550792.00,524420.00,733236.00,2026-07-29,52,False,False,0.08,2.66,0.07,0.08,197.91,1.35,0.40,0.13,24.68,4.62,3.76,1.60,2.26,0.06,4.44,0.69,True,yfinance,"2026-06-18,2026-07-17",248.00,142.00,1455.00,818.00,0.57,0.56,0.64,0.64,49.00,34.00,182.00,173.00,0.69,0.95,0.51,195.00,253.00,170.00,92.00,170.00,0.50,0.17,0.17,390.00,2273.00,,AVOID,,RECLAIM | score 69.14 | RS 0.385 | trend 0.6 | R:R 3.89 | opt BULLISH
7,CL,Colgate-Palmolive Company,NYQ,EQUITY,United States,Consumer Defensive,Household & Personal Products,70880772096,risk_on,68.38,0.48,0.80,acceptable,0.67,0.57,0.82,0.70,True,1.00,0.51,0.46,0.62,NEUTRAL,HIGH,False,PULLBACK,True,88.80,88.58,85.14,95.46,2.00,0.03,1.13,88.58,5265299.15,5719371.38,5292900.00,5265299.15,466400208.35,1.01,,0.00,0.00,5816892.00,5350210.00,5961383.00,2026-07-31,54,False,False,0.08,-0.06,0.21,0.10,1640.54,3.64,0.60,0.16,34.33,21.92,489.39,3.41,15.80,0.03,3.72,0.88,True,yfinance,"2026-06-12,2026-06-18,2026-06-26",1728.00,1455.00,19827.00,19441.00,0.84,0.98,0.54,0.50,1360.00,1314.00,11474.00,9156.00,0.97,0.80,0.56,95.00,4541.00,80.00,4692.00,87.50,0.39,0.09,0.07,3183.00,39268.00,,AVOID,,PULLBACK | score 68.38 | RS 0.481 | trend 0.8 | R:R 2.0 | opt NEUTRAL
8,KVUE,Kenvue Inc.,NYQ,EQUITY,United States,Consumer Defensive,Household & Personal Products,34003351552,risk_on,66.51,0.46,0.70,acceptable,0.51,0.57,0.82,0.70,True,1.00,0.40,0.66,0.76,BULLISH,HIGH,True,PULLBACK,True,17.36,17.71,17.13,18.87,2.00,0.02,1.09,17.71,22648383.25,19884244.42,22069650.00,22648383.25,401102846.62,0.97,,0.00,0.00,20374139.00,21321720.00,24611165.00,2026-08-06,60,False,False,0.04,0.47,0.22,0.11,82.98,0.16,0.59,0.07,21.08,14.32,3.21,2.22,12.03,0.04,3.24,0.95,True,yfinance,"2026-06-12,2026-06-18,2026-06-26",2396.00,439.00,89382.00,28335.00,0.18,0.32,0.85,0.76,1018.00,92.00,19766.00,1306.00,0.09,0.07,0.94,20.00,40265.00,18.00,16341.00,18.00,0.24,0.03,0.02,2835.00,117717.00,put/call extremadamente bajo: posible crowded trade,AVOID,,PULLBACK | score 66.51 | RS 0.462 | trend 0.7 | R:R 2.0 | opt BULLISH
9,KMB,Kimberly-Clark Corporation,NMS,EQUITY,United States,Consumer Defensive,Household & Personal Products,32875372544,risk_on,63.22,0.40,0.60,weak,0.58,0.57,0.78,0.70,True,1.00,0.26,0.54,0.71,BULLISH,HIGH,False,RECLAIM,True,97.49,99.04,95.17,106.78,2.00,0.03,1.35,99.04,4678599.30,4815763.10,4658500.00,4678599.30,463368478.96,1.00,0.10,92.93,102.73,4786282.00,4547860.00,6324786.00,2026-08-10,64,False,False,0.03,0.18,0.20,0.13,371.26,1.12,0.37,0.10,19.16,13.07,18.30,1.99,11.80,0.15,9.44,0.93,True,yfinance,"2026-06-12,2026-06-18,2026-06-26",4092.00,1744.00,22340.00,14585.00,0.43,0.65,0.70,0.61,1354.00,1006.00,7944.00,6990.00,0.74,0.88,0.53,100.00,3429.00,95.00,2451.00,97.00,0.37,0.18,0.12,5836.00,36925.00,,AVOID,,RECLAIM | score 63.22 | RS 0.404 | trend 0.6 | R:R 2.0 | opt BULLISH
10,COO,"The Cooper Companies, Inc.",NMS,EQUITY,United States,Healthcare,Medical Instruments & Supplies,13139003392,risk_on,76.17,0.54,0.45,weak,0.97,0.79,1.00,0.72,True,1.00,1.00,0.42,0.78,BULLISH,HIGH,True,BREAKOUT,True,63.32,67.34,64.51,73.15,2.05,0.03,2.90,67.34,3131056.55,2421818.85,2260800.00,3131056.55,210845336.61,0.72,0.15,61.55,71.45,2358882.00,3188840.00,9084331.00,2026-09-03,88,False,False,0.08,,-0.03,0.06,29.86,0.03,0.66,0.03,33.50,13.47,1.59,3.11,17.43,0.03,2.26,1.07,True,yfinance,"2026-06-18,2026-07-17",4617.00,796.00,5903.00,3259.00,0.17,0.55,0.85,0.64,2745.00,215.00,2741.00,36.00,0.08,0.01,0.99,70.00,2616.00,55.00,1691.00,60.00,0.44,0.78,0.24,5413.00,9162.00,put/call extremadamente bajo: posible crowded trade,VETO,trend_score_too_weak,Veto: trend_score_too_weak
