ticker,appearances,first_seen,last_seen,days_seen,latest_signal,latest_recommendation,latest_setup_type,latest_rank,latest_final_trade_score,latest_setup_quality_score,latest_quote_status,latest_execution_quote_quality,latest_quote_recheck_priority,signal_path,recommendation_path,rank_path,final_trade_score_path,setup_quality_score_path,score_delta,rank_delta,was_trigger_confirmed,promoted_to_trigger,persistent_watchlist,deteriorated_signal,disappeared_from_manual_review,manual_quote_recheck_count,latest_in_manual_review,setup_persistence_score,setup_persistence_bucket,persistence_bonus_reason,persistence_penalty_reason
RSI,37,2026-06-09T13:45:27,2026-06-11T01:05:13,3,WATCHLIST,WATCHLIST_MONITOR,BREAKOUT,2,83.56,87.75,VALID,HIGH,,WATCHLIST -> VETO -> WATCHLIST,WATCHLIST_MONITOR -> DO_NOT_TRADE -> WATCHLIST_MONITOR,9 -> 9 -> 9 -> 9 -> 9 -> 12 -> 12 -> 13 -> 13 -> 13 -> 13 -> 13 -> 13 -> 13 -> 13 -> 13 -> 153 -> 138 -> 140 -> 134 -> 135 -> 136 -> 2 -> 2 -> 2 -> 2 -> 2 -> 2 -> 2 -> 2 -> 2 -> 2 -> 2 -> 2 -> 2 -> 2 -> 2,72.92 -> 72.92 -> 72.92 -> 72.92 -> 72.69 -> 71.63 -> 72.04 -> 72.24 -> 72.24 -> 72.25 -> 72.24 -> 72.24 -> 72.24 -> 72.24 -> 72.24 -> 72.24 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 83.32 -> 83.33 -> 83.33 -> 83.32 -> 83.32 -> 83.32 -> 83.56 -> 83.56 -> 83.56 -> 83.56 -> 83.56 -> 83.56 -> 83.56 -> 83.56 -> 83.56,71.93 -> 71.93 -> 71.93 -> 71.93 -> 72.07 -> 69.67 -> 70.07 -> 70.07 -> 70.07 -> 70.07 -> 70.07 -> 70.07 -> 70.07 -> 70.07 -> 70.07 -> 70.07 -> 43.12 -> 47.41 -> 47.35 -> 47.42 -> 47.38 -> 47.75 -> 87.75 -> 87.75 -> 87.75 -> 87.75 -> 87.75 -> 87.75 -> 87.75 -> 87.75 -> 87.75 -> 87.75 -> 87.75 -> 87.75 -> 87.75 -> 87.75 -> 87.75,10.64,7,False,False,True,False,False,0,True,89.0,A_PERSISTENT_HIGH_QUALITY,"appeared_5_or_more_runs, latest_watchlist, persistent_watchlist, still_in_manual_review, final_trade_score_improved, rank_improved, execution_quote_quality_high, quote_valid",score_capped_by_watchlist_state
BFH,37,2026-06-09T13:45:27,2026-06-11T01:05:13,3,WATCHLIST,WATCHLIST_MONITOR,BREAKOUT,3,83.28,86.88,VALID,HIGH,,VETO -> WATCHLIST,DO_NOT_TRADE -> WATCHLIST_MONITOR,298 -> 298 -> 298 -> 298 -> 332 -> 337 -> 348 -> 353 -> 353 -> 353 -> 353 -> 353 -> 353 -> 353 -> 353 -> 353 -> 124 -> 130 -> 134 -> 126 -> 125 -> 125 -> 3 -> 3 -> 3 -> 3 -> 3 -> 3 -> 3 -> 3 -> 3 -> 3 -> 3 -> 3 -> 3 -> 3 -> 3,49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 83.26 -> 83.28 -> 83.28 -> 83.26 -> 83.26 -> 83.26 -> 83.28 -> 83.28 -> 83.28 -> 83.28 -> 83.28 -> 83.28 -> 83.28 -> 83.28 -> 83.28,45.95 -> 45.95 -> 45.95 -> 45.95 -> 46.42 -> 46.84 -> 47.92 -> 47.93 -> 47.93 -> 47.93 -> 47.93 -> 47.93 -> 47.93 -> 47.93 -> 47.93 -> 47.93 -> 48.94 -> 48.78 -> 48.96 -> 49.32 -> 49.44 -> 49.74 -> 86.88 -> 86.88 -> 86.88 -> 86.88 -> 86.88 -> 86.88 -> 86.88 -> 86.88 -> 86.88 -> 86.88 -> 86.88 -> 86.88 -> 86.88 -> 86.88 -> 86.88,34.28,295,False,False,True,False,False,0,True,89.0,A_PERSISTENT_HIGH_QUALITY,"appeared_5_or_more_runs, latest_watchlist, persistent_watchlist, still_in_manual_review, final_trade_score_improved, rank_improved, execution_quote_quality_high, quote_valid",score_capped_by_watchlist_state
UNM,37,2026-06-09T13:45:27,2026-06-11T01:05:13,3,WATCHLIST,WATCHLIST_MONITOR,BREAKOUT,9,81.92,87.15,VALID,HIGH,,VETO -> WATCHLIST -> VETO -> WATCHLIST,DO_NOT_TRADE -> RECHECK_LIVE_QUOTE -> DO_NOT_TRADE -> WATCHLIST_MONITOR,305 -> 305 -> 305 -> 305 -> 336 -> 308 -> 22 -> 23 -> 23 -> 23 -> 23 -> 23 -> 23 -> 23 -> 23 -> 23 -> 130 -> 131 -> 133 -> 122 -> 124 -> 124 -> 8 -> 8 -> 8 -> 8 -> 8 -> 8 -> 9 -> 9 -> 9 -> 9 -> 9 -> 9 -> 9 -> 9 -> 9,49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 79.69 -> 79.70 -> 79.70 -> 79.70 -> 79.70 -> 79.70 -> 79.70 -> 79.70 -> 79.70 -> 79.70 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 81.90 -> 81.93 -> 81.93 -> 81.91 -> 81.91 -> 81.91 -> 81.92 -> 81.92 -> 81.92 -> 81.92 -> 81.92 -> 81.92 -> 81.92 -> 81.92 -> 81.92,45.01 -> 45.01 -> 45.01 -> 45.01 -> 45.91 -> 48.91 -> 84.31 -> 84.31 -> 84.31 -> 84.31 -> 84.31 -> 84.31 -> 84.31 -> 84.31 -> 84.31 -> 84.31 -> 48.21 -> 48.51 -> 49.05 -> 49.65 -> 49.48 -> 49.76 -> 87.15 -> 87.15 -> 87.15 -> 87.15 -> 87.15 -> 87.15 -> 87.15 -> 87.15 -> 87.15 -> 87.15 -> 87.15 -> 87.15 -> 87.15 -> 87.15 -> 87.15,32.92,296,False,False,True,False,False,10,True,89.0,A_PERSISTENT_HIGH_QUALITY,"appeared_5_or_more_runs, latest_watchlist, persistent_watchlist, still_in_manual_review, final_trade_score_improved, rank_improved, execution_quote_quality_high, quote_valid","repeated_quote_rechecks, score_capped_by_watchlist_state"
SPNT,37,2026-06-09T13:45:27,2026-06-11T01:05:13,3,WATCHLIST,WATCHLIST_MONITOR,PULLBACK,11,77.8,83.26,VALID,HIGH,,VETO -> WATCHLIST,DO_NOT_TRADE -> WATCHLIST_MONITOR,255 -> 255 -> 255 -> 255 -> 295 -> 268 -> 321 -> 325 -> 325 -> 325 -> 325 -> 325 -> 325 -> 325 -> 325 -> 325 -> 9 -> 10 -> 8 -> 8 -> 8 -> 10 -> 11 -> 11 -> 11 -> 11 -> 11 -> 11 -> 11 -> 11 -> 11 -> 11 -> 11 -> 11 -> 11 -> 11 -> 11,49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 75.50 -> 75.05 -> 74.50 -> 74.79 -> 75.05 -> 74.81 -> 77.81 -> 77.82 -> 77.82 -> 77.79 -> 77.79 -> 77.79 -> 77.80 -> 77.80 -> 77.80 -> 77.80 -> 77.80 -> 77.80 -> 77.80 -> 77.80 -> 77.80,49.85 -> 49.85 -> 49.85 -> 49.85 -> 49.12 -> 51.44 -> 50.13 -> 50.13 -> 50.13 -> 50.13 -> 50.13 -> 50.13 -> 50.13 -> 50.13 -> 50.13 -> 50.13 -> 78.00 -> 77.77 -> 77.90 -> 77.59 -> 77.59 -> 77.85 -> 83.26 -> 83.26 -> 83.26 -> 83.26 -> 83.26 -> 83.26 -> 83.26 -> 83.26 -> 83.26 -> 83.26 -> 83.26 -> 83.26 -> 83.26 -> 83.26 -> 83.26,28.8,244,False,False,True,False,False,0,True,89.0,A_PERSISTENT_HIGH_QUALITY,"appeared_5_or_more_runs, latest_watchlist, persistent_watchlist, still_in_manual_review, final_trade_score_improved, rank_improved, execution_quote_quality_high, quote_valid",score_capped_by_watchlist_state
GS,37,2026-06-09T13:45:27,2026-06-11T01:05:13,3,WATCHLIST,WATCHLIST_MONITOR,PULLBACK,13,76.56,81.96,VALID,HIGH,,WATCHLIST -> VETO -> WATCHLIST,RECHECK_LIVE_QUOTE -> DO_NOT_TRADE -> WATCHLIST_MONITOR,15 -> 15 -> 15 -> 15 -> 341 -> 340 -> 351 -> 355 -> 355 -> 355 -> 355 -> 355 -> 355 -> 355 -> 355 -> 355 -> 14 -> 3 -> 14 -> 10 -> 12 -> 4 -> 13 -> 13 -> 13 -> 13 -> 13 -> 13 -> 13 -> 13 -> 13 -> 13 -> 13 -> 13 -> 13 -> 13 -> 13,74.60 -> 74.60 -> 74.60 -> 74.60 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 74.14 -> 76.54 -> 72.63 -> 74.49 -> 74.55 -> 76.55 -> 76.53 -> 76.58 -> 76.58 -> 76.55 -> 76.55 -> 76.55 -> 76.56 -> 76.56 -> 76.56 -> 76.56 -> 76.56 -> 76.56 -> 76.56 -> 76.56 -> 76.56,72.86 -> 72.86 -> 72.86 -> 72.86 -> 45.62 -> 46.74 -> 47.73 -> 47.73 -> 47.73 -> 47.73 -> 47.73 -> 47.73 -> 47.73 -> 47.73 -> 47.73 -> 47.73 -> 73.01 -> 78.36 -> 71.67 -> 74.39 -> 73.92 -> 78.85 -> 81.90 -> 81.96 -> 81.96 -> 81.96 -> 81.96 -> 81.96 -> 81.96 -> 81.96 -> 81.96 -> 81.96 -> 81.96 -> 81.96 -> 81.96 -> 81.96 -> 81.96,1.96,2,False,False,True,False,False,4,True,89.0,A_PERSISTENT_HIGH_QUALITY,"appeared_5_or_more_runs, latest_watchlist, persistent_watchlist, still_in_manual_review, final_trade_score_improved, rank_improved, execution_quote_quality_high, quote_valid","repeated_quote_rechecks, score_capped_by_watchlist_state"
TRV,37,2026-06-09T13:45:27,2026-06-11T01:05:13,3,WATCHLIST,WATCHLIST_MONITOR,PULLBACK,15,75.63,78.99,VALID,HIGH,,AVOID -> WATCHLIST,AVOID_FOR_NOW -> WATCHLIST_MONITOR,41 -> 41 -> 41 -> 41 -> 72 -> 87 -> 64 -> 66 -> 66 -> 66 -> 66 -> 66 -> 66 -> 66 -> 66 -> 66 -> 5 -> 6 -> 7 -> 6 -> 7 -> 8 -> 14 -> 15 -> 15 -> 15 -> 15 -> 15 -> 15 -> 15 -> 15 -> 15 -> 15 -> 15 -> 15 -> 15 -> 15,72.45 -> 72.45 -> 72.45 -> 72.45 -> 68.02 -> 67.48 -> 73.44 -> 73.41 -> 73.41 -> 73.41 -> 73.41 -> 73.41 -> 73.41 -> 73.41 -> 73.41 -> 73.41 -> 76.06 -> 75.59 -> 74.72 -> 75.15 -> 75.46 -> 75.09 -> 75.61 -> 75.65 -> 75.65 -> 75.61 -> 75.61 -> 75.61 -> 75.63 -> 75.63 -> 75.63 -> 75.63 -> 75.63 -> 75.63 -> 75.63 -> 75.63 -> 75.63,77.94 -> 77.94 -> 77.94 -> 77.94 -> 75.63 -> 75.50 -> 79.37 -> 79.37 -> 79.37 -> 79.37 -> 79.37 -> 79.37 -> 79.37 -> 79.37 -> 79.37 -> 79.37 -> 78.85 -> 78.49 -> 78.08 -> 77.83 -> 77.92 -> 78.02 -> 78.99 -> 78.99 -> 78.99 -> 78.99 -> 78.99 -> 78.99 -> 78.99 -> 78.99 -> 78.99 -> 78.99 -> 78.99 -> 78.99 -> 78.99 -> 78.99 -> 78.99,3.18,26,False,False,True,False,False,0,True,89.0,A_PERSISTENT_HIGH_QUALITY,"appeared_5_or_more_runs, latest_watchlist, persistent_watchlist, still_in_manual_review, final_trade_score_improved, rank_improved, execution_quote_quality_high, quote_valid",score_capped_by_watchlist_state
L,37,2026-06-09T13:45:27,2026-06-11T01:05:13,3,WATCHLIST,WATCHLIST_MONITOR,PULLBACK,18,75.12,80.51,VALID,HIGH,,AVOID -> WATCHLIST,AVOID_FOR_NOW -> WATCHLIST_MONITOR,66 -> 66 -> 66 -> 66 -> 68 -> 84 -> 104 -> 106 -> 106 -> 106 -> 106 -> 106 -> 106 -> 106 -> 106 -> 106 -> 3 -> 4 -> 6 -> 5 -> 6 -> 9 -> 19 -> 19 -> 19 -> 19 -> 19 -> 19 -> 18 -> 18 -> 18 -> 18 -> 18 -> 18 -> 18 -> 18 -> 18,68.05 -> 68.05 -> 68.05 -> 68.05 -> 68.54 -> 67.84 -> 68.39 -> 68.38 -> 68.38 -> 68.38 -> 68.38 -> 68.38 -> 68.38 -> 68.38 -> 68.38 -> 68.38 -> 76.66 -> 76.39 -> 74.82 -> 75.17 -> 75.52 -> 75.07 -> 75.10 -> 75.14 -> 75.14 -> 75.11 -> 75.11 -> 75.11 -> 75.12 -> 75.12 -> 75.12 -> 75.12 -> 75.12 -> 75.12 -> 75.12 -> 75.12 -> 75.12,72.28 -> 72.28 -> 72.28 -> 72.28 -> 73.41 -> 74.07 -> 72.43 -> 72.43 -> 72.43 -> 72.43 -> 72.43 -> 72.43 -> 72.43 -> 72.43 -> 72.43 -> 72.43 -> 81.50 -> 81.47 -> 80.66 -> 80.34 -> 80.48 -> 80.43 -> 80.51 -> 80.51 -> 80.51 -> 80.51 -> 80.51 -> 80.51 -> 80.51 -> 80.51 -> 80.51 -> 80.51 -> 80.51 -> 80.51 -> 80.51 -> 80.51 -> 80.51,7.07,48,False,False,True,False,False,0,True,89.0,A_PERSISTENT_HIGH_QUALITY,"appeared_5_or_more_runs, latest_watchlist, persistent_watchlist, still_in_manual_review, final_trade_score_improved, rank_improved, execution_quote_quality_high, quote_valid",score_capped_by_watchlist_state
MS,37,2026-06-09T13:45:27,2026-06-11T01:05:13,3,WATCHLIST,WATCHLIST_MONITOR,PULLBACK,20,74.7,73.17,VALID,HIGH,,VETO -> WATCHLIST,DO_NOT_TRADE -> WATCHLIST_MONITOR,303 -> 303 -> 303 -> 303 -> 333 -> 336 -> 346 -> 351 -> 351 -> 351 -> 351 -> 351 -> 351 -> 351 -> 351 -> 351 -> 12 -> 13 -> 10 -> 11 -> 10 -> 12 -> 23 -> 20 -> 20 -> 20 -> 20 -> 20 -> 20 -> 20 -> 20 -> 20 -> 20 -> 20 -> 20 -> 20 -> 20,49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 74.88 -> 74.33 -> 74.10 -> 74.48 -> 74.90 -> 74.24 -> 73.99 -> 74.72 -> 74.72 -> 74.69 -> 74.69 -> 74.69 -> 74.70 -> 74.70 -> 74.70 -> 74.70 -> 74.70 -> 74.70 -> 74.70 -> 74.70 -> 74.70,45.21 -> 45.21 -> 45.21 -> 45.21 -> 46.34 -> 46.85 -> 48.10 -> 48.11 -> 48.11 -> 48.11 -> 48.11 -> 48.11 -> 48.11 -> 48.11 -> 48.11 -> 48.11 -> 72.27 -> 71.78 -> 72.58 -> 72.26 -> 72.45 -> 72.08 -> 71.77 -> 73.17 -> 73.17 -> 73.17 -> 73.17 -> 73.17 -> 73.17 -> 73.17 -> 73.17 -> 73.17 -> 73.17 -> 73.17 -> 73.17 -> 73.17 -> 73.17,25.7,283,False,False,True,False,False,0,True,89.0,A_PERSISTENT_HIGH_QUALITY,"appeared_5_or_more_runs, latest_watchlist, persistent_watchlist, still_in_manual_review, final_trade_score_improved, rank_improved, execution_quote_quality_high, quote_valid",score_capped_by_watchlist_state
IX,37,2026-06-09T13:45:27,2026-06-11T01:05:13,3,WATCHLIST,WATCHLIST_MONITOR,PULLBACK,21,74.54,78.95,VALID,HIGH,,WATCHLIST,RECHECK_LIVE_QUOTE -> WATCHLIST_MONITOR,14 -> 14 -> 14 -> 14 -> 16 -> 27 -> 37 -> 36 -> 36 -> 36 -> 36 -> 36 -> 36 -> 36 -> 36 -> 36 -> 6 -> 7 -> 5 -> 3 -> 4 -> 11 -> 20 -> 21 -> 21 -> 21 -> 21 -> 21 -> 21 -> 21 -> 21 -> 21 -> 21 -> 21 -> 21 -> 21 -> 21,75.40 -> 75.40 -> 75.40 -> 75.40 -> 75.18 -> 74.94 -> 75.67 -> 75.67 -> 75.67 -> 75.67 -> 75.67 -> 75.67 -> 75.67 -> 75.67 -> 75.67 -> 75.67 -> 75.87 -> 75.48 -> 74.90 -> 75.51 -> 75.59 -> 74.78 -> 74.54 -> 74.56 -> 74.56 -> 74.53 -> 74.53 -> 74.53 -> 74.54 -> 74.54 -> 74.54 -> 74.54 -> 74.54 -> 74.54 -> 74.54 -> 74.54 -> 74.54,78.59 -> 78.59 -> 78.59 -> 78.59 -> 78.14 -> 78.51 -> 78.74 -> 78.74 -> 78.74 -> 78.74 -> 78.74 -> 78.74 -> 78.74 -> 78.74 -> 78.74 -> 78.74 -> 80.32 -> 80.09 -> 80.23 -> 80.28 -> 79.94 -> 79.27 -> 78.95 -> 78.95 -> 78.95 -> 78.95 -> 78.95 -> 78.95 -> 78.95 -> 78.95 -> 78.95 -> 78.95 -> 78.95 -> 78.95 -> 78.95 -> 78.95 -> 78.95,-0.86,-7,False,False,True,False,False,16,True,89.0,A_PERSISTENT_HIGH_QUALITY,"appeared_5_or_more_runs, latest_watchlist, persistent_watchlist, still_in_manual_review, execution_quote_quality_high, quote_valid","final_trade_score_deteriorated, rank_deteriorated, repeated_quote_rechecks, score_capped_by_watchlist_state"
VLO,37,2026-06-09T13:45:27,2026-06-11T01:05:13,3,WATCHLIST,WATCHLIST_MONITOR,PULLBACK,24,73.84,73.48,VALID,HIGH,,WATCHLIST -> AVOID -> VETO -> WATCHLIST,RECHECK_LIVE_QUOTE -> AVOID_FOR_NOW -> DO_NOT_TRADE -> WATCHLIST_MONITOR,18 -> 18 -> 18 -> 18 -> 42 -> 52 -> 84 -> 81 -> 81 -> 81 -> 81 -> 81 -> 81 -> 81 -> 81 -> 81 -> 133 -> 146 -> 144 -> 147 -> 148 -> 148 -> 24 -> 25 -> 25 -> 25 -> 25 -> 25 -> 24 -> 24 -> 24 -> 24 -> 24 -> 24 -> 24 -> 24 -> 24,72.23 -> 72.23 -> 72.23 -> 72.23 -> 72.12 -> 72.38 -> 70.63 -> 71.05 -> 71.05 -> 71.05 -> 71.05 -> 71.05 -> 71.05 -> 71.05 -> 71.05 -> 71.05 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 49.00 -> 73.85 -> 73.85 -> 73.85 -> 73.84 -> 73.84 -> 73.84 -> 73.84 -> 73.84 -> 73.84 -> 73.84 -> 73.84 -> 73.84 -> 73.84 -> 73.84 -> 73.84,73.55 -> 73.55 -> 73.55 -> 73.55 -> 73.55 -> 75.15 -> 70.72 -> 71.62 -> 71.62 -> 71.62 -> 71.62 -> 71.62 -> 71.62 -> 71.62 -> 71.62 -> 71.62 -> 47.50 -> 47.03 -> 46.62 -> 45.99 -> 46.03 -> 45.96 -> 73.48 -> 73.48 -> 73.48 -> 73.48 -> 73.48 -> 73.48 -> 73.48 -> 73.48 -> 73.48 -> 73.48 -> 73.48 -> 73.48 -> 73.48 -> 73.48 -> 73.48,1.61,-6,False,False,True,False,False,4,True,89.0,A_PERSISTENT_HIGH_QUALITY,"appeared_5_or_more_runs, latest_watchlist, persistent_watchlist, still_in_manual_review, final_trade_score_improved, execution_quote_quality_high, quote_valid","rank_deteriorated, repeated_quote_rechecks, score_capped_by_watchlist_state"
